device_id,alert_date,level_percent,alert_type
TAXIFY-1173,2025-06-24,19.9,TONER_LOW
TAXIFY-1174,2025-03-24,19.3,TONER_LOW
TAXIFY-1175,2025-02-26,19.5,TONER_LOW
TAXIFY-1175,2025-02-27,18.8,TONER_LOW
TAXIFY-1175,2025-07-03,19.8,TONER_LOW
TAXIFY-1176,2025-05-07,19.8,TONER_LOW
TAXIFY-1177,2025-03-24,19.1,TONER_LOW
TAXIFY-1178,2025-07-11,19.9,TONER_LOW
TAXIFY-1179,2024-12-13,19.9,TONER_LOW
TAXIFY-1179,2025-02-28,18.8,TONER_LOW
TAXIFY-1179,2025-04-11,19.5,TONER_LOW
TAXIFY-1179,2025-07-15,19.8,TONER_LOW
TAXIFY-1180,2025-03-21,19.7,TONER_LOW
TAXIFY-1183,2025-03-14,19.4,TONER_LOW
TAXIFY-1183,2025-03-15,18.9,TONER_LOW
TAXIFY-1183,2025-03-16,18.3,TONER_LOW
TAXIFY-1184,2025-06-26,19.8,TONER_LOW
TAXIFY-1185,2025-05-26,19.8,TONER_LOW
TAXIFY-1186,2025-03-13,19.8,TONER_LOW
TAXIFY-1190,2025-08-24,20.0,TONER_LOW
TAXIFY-1191,2025-04-14,19.7,TONER_LOW
TAXIFY-1192,2025-04-15,19.9,TONER_LOW
TAXIFY-1195,2025-04-05,19.7,TONER_LOW
TAXIFY-1197,2025-03-31,19.2,TONER_LOW
TAXIFY-1197,2025-04-01,18.5,TONER_LOW
TAXIFY-1198,2025-04-30,19.7,TONER_LOW
