order_id,device_id,client,toner_model,toner_color,order_date,quantity,reason,oversupply_flag,shipment_id,ship_date,eta_date,delivered_date,location
O0000022,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-02-17,1,low_alert,False,S000102,2025-02-19,2025-02-21,2025-02-21,Kroger Site 10
O0000023,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-08-21,1,low_alert,False,S000996,2025-08-22,2025-08-25,2025-08-26,Kroger Site 10
O0000024,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-08-22,1,low_alert,False,S000999,2025-08-23,2025-08-25,2025-08-25,Kroger Site 10
O0000025,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-08-23,1,low_alert,False,S001003,2025-08-23,2025-08-25,2025-08-25,Kroger Site 10
O0000026,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-08-24,1,low_alert,False,S001004,2025-08-24,2025-08-27,2025-08-27,Kroger Site 10
O0000027,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-08-25,1,low_alert,False,S001006,2025-08-25,2025-08-27,2025-08-27,Kroger Site 10
O0000028,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-08-26,1,low_alert,False,S001010,2025-08-27,2025-08-31,2025-08-31,Kroger Site 10
O0000029,KROGER-1009,Kroger,RICOH-C3000-BK,BK,2025-08-27,1,low_alert,False,S001014,2025-08-27,2025-08-30,2025-08-31,Kroger Site 10
O0000030,KROGER-1010,Kroger,RICOH-C3000-Y,Y,2025-03-18,1,manual_bulk,True,S000182,2025-03-19,2025-03-22,2025-03-22,Kroger Site 11
O0000031,KROGER-1010,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000182,2025-03-19,2025-03-22,2025-03-22,Kroger Site 11
O0000032,KROGER-1010,Kroger,RICOH-C3000-BK,BK,2025-07-02,1,low_alert,False,S000871,2025-07-03,2025-07-05,2025-07-05,Kroger Site 11
O0000033,KROGER-1011,Kroger,CANON-4551-BK,BK,2025-06-15,1,low_alert,False,S000817,2025-06-15,2025-06-18,2025-06-18,Kroger Site 12
O0000034,KROGER-1011,Kroger,CANON-4551-BK,BK,2025-06-16,1,low_alert,False,S000819,2025-06-17,2025-06-20,2025-06-20,Kroger Site 12
O0000035,KROGER-1011,Kroger,CANON-4551-BK,BK,2025-06-17,1,low_alert,False,S000824,2025-06-18,2025-06-23,2025-06-23,Kroger Site 12
O0000036,KROGER-1011,Kroger,CANON-4551-BK,BK,2025-06-18,1,low_alert,False,S000830,2025-06-19,2025-06-21,2025-06-21,Kroger Site 12
O0000037,KROGER-1012,Kroger,CANON-4551-BK,BK,2025-03-28,1,low_alert,False,S000602,2025-03-30,2025-04-01,2025-04-01,Kroger Site 13
O0000038,KROGER-1012,Kroger,CANON-4551-BK,BK,2025-03-29,1,low_alert,False,S000605,2025-03-29,2025-03-31,2025-04-01,Kroger Site 13
O0000039,KROGER-1013,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000203,2025-03-20,2025-03-22,2025-03-22,Kroger Site 14
O0000040,KROGER-1013,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000203,2025-03-20,2025-03-22,2025-03-22,Kroger Site 14
O0000041,KROGER-1013,Kroger,RICOH-C3000-BK,BK,2025-05-16,1,low_alert,False,S000735,2025-05-17,2025-05-20,2025-05-20,Kroger Site 14
O0000042,KROGER-1014,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000209,2025-03-18,2025-03-21,2025-03-21,Kroger Site 15
O0000043,KROGER-1014,Kroger,RICOH-501-BK,BK,2025-06-21,1,low_alert,False,S000837,2025-06-23,2025-06-25,2025-06-26,Kroger Site 15
O0000044,KROGER-1015,Kroger,RICOH-C3000-C,C,2025-03-18,1,manual_bulk,True,S000213,2025-03-19,2025-03-23,2025-03-23,Kroger Site 16
O0000045,KROGER-1015,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000213,2025-03-19,2025-03-23,2025-03-23,Kroger Site 16
O0000046,KROGER-1016,Kroger,CANON-4551-BK,BK,2025-03-22,1,low_alert,False,S000587,2025-03-23,2025-03-25,2025-03-25,Kroger Site 17
O0000047,KROGER-1017,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000222,2025-03-20,2025-03-22,2025-03-24,Kroger Site 18
O0000048,KROGER-1017,Kroger,RICOH-C3000-BK,BK,2025-03-30,1,low_alert,False,S000608,2025-03-30,2025-04-01,2025-04-01,Kroger Site 18
O0000049,KROGER-1018,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,low_alert,False,S000227,2025-03-20,2025-03-23,2025-03-23,Kroger Site 19
O0000050,KROGER-1018,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000227,2025-03-20,2025-03-23,2025-03-23,Kroger Site 19
O0000051,KROGER-1020,Kroger,RICOH-C3000-BK,BK,2024-12-13,1,low_alert,False,S000010,2024-12-14,2024-12-17,2024-12-17,Kroger Site 21
O0000052,KROGER-1020,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000241,2025-03-19,2025-03-22,2025-03-22,Kroger Site 21
O0000053,KROGER-1020,Kroger,RICOH-C3000-BK,BK,2025-04-03,1,low_alert,False,S000621,2025-04-05,2025-04-07,2025-04-07,Kroger Site 21
O0000054,KROGER-1020,Kroger,RICOH-C3000-BK,BK,2025-04-04,1,low_alert,False,S000622,2025-04-04,2025-04-07,2025-04-07,Kroger Site 21
O0000055,KROGER-1020,Kroger,RICOH-C3000-BK,BK,2025-07-29,1,low_alert,False,S000939,2025-07-30,2025-08-01,2025-08-01,Kroger Site 21
O0000056,KROGER-1021,Kroger,CANON-4551-BK,BK,2025-05-06,1,low_alert,False,S000717,2025-05-08,2025-05-11,2025-05-11,Kroger Site 22
O0000057,KROGER-1022,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000253,2025-03-19,2025-03-22,2025-03-22,Kroger Site 23
O0000058,KROGER-1022,Kroger,RICOH-C3000-BK,BK,2025-05-29,1,low_alert,False,S000769,2025-05-31,2025-06-03,2025-06-03,Kroger Site 23
O0000059,KROGER-1023,Kroger,RICOH-501-BK,BK,2024-12-21,1,low_alert,False,S000020,2024-12-21,2024-12-23,2024-12-23,Kroger Site 24
O0000060,KROGER-1023,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000258,2025-03-18,2025-03-20,2025-03-20,Kroger Site 24
O0000061,KROGER-1023,Kroger,RICOH-501-BK,BK,2025-04-23,1,low_alert,False,S000688,2025-04-24,2025-04-27,2025-04-27,Kroger Site 24
O0000062,KROGER-1023,Kroger,RICOH-501-BK,BK,2025-08-26,1,low_alert,False,S001011,2025-08-27,2025-08-29,2025-08-29,Kroger Site 24
O0000063,KROGER-1023,Kroger,RICOH-501-BK,BK,2025-08-27,1,low_alert,False,S001015,2025-08-27,2025-08-29,2025-08-30,Kroger Site 24
O0000064,KROGER-1023,Kroger,RICOH-501-BK,BK,2025-08-28,1,low_alert,False,S001022,2025-08-28,2025-08-31,2025-08-31,Kroger Site 24
O0000065,KROGER-1023,Kroger,RICOH-501-BK,BK,2025-08-29,1,low_alert,False,S001027,2025-08-29,2025-08-31,2025-08-31,Kroger Site 24
O0000066,KROGER-1024,Kroger,RICOH-C3000-BK,BK,2025-04-22,1,low_alert,False,S000682,2025-04-22,2025-04-24,2025-04-24,Kroger Site 25
O0000067,KROGER-1025,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000275,2025-03-20,2025-03-23,2025-03-23,Kroger Site 26
O0000068,KROGER-1025,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000275,2025-03-20,2025-03-23,2025-03-23,Kroger Site 26
O0000069,KROGER-1026,Kroger,HP-37A-BK,BK,2025-08-17,1,low_alert,False,S000986,2025-08-18,2025-08-21,2025-08-21,Kroger Site 27
O0000070,KROGER-1028,Kroger,RICOH-501-BK,BK,2025-02-21,1,low_alert,False,S000111,2025-02-23,2025-02-25,2025-02-25,Kroger Site 29
O0000071,KROGER-1028,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000290,2025-03-18,2025-03-20,2025-03-20,Kroger Site 29
O0000072,KROGER-1028,Kroger,RICOH-501-BK,BK,2025-08-27,1,low_alert,False,S001016,2025-08-27,2025-08-29,2025-08-29,Kroger Site 29
O0000073,KROGER-1029,Kroger,RICOH-C3000-Y,Y,2025-03-18,1,manual_bulk,True,S000302,2025-03-19,2025-03-21,2025-03-21,Kroger Site 30
O0000074,KROGER-1029,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000303,2025-03-20,2025-03-24,2025-03-24,Kroger Site 30
O0000075,KROGER-1029,Kroger,RICOH-C3000-C,C,2025-03-18,1,manual_bulk,True,S000303,2025-03-20,2025-03-24,2025-03-24,Kroger Site 30
O0000076,KROGER-1029,Kroger,RICOH-C3000-BK,BK,2025-06-04,1,low_alert,False,S000785,2025-06-06,2025-06-10,2025-06-10,Kroger Site 30
O0000077,KROGER-1031,Kroger,RICOH-501-BK,BK,2025-02-17,1,low_alert,False,S000103,2025-02-18,2025-02-22,2025-02-22,Kroger Site 32
O0000078,KROGER-1031,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000310,2025-03-19,2025-03-21,2025-03-21,Kroger Site 32
O0000079,KROGER-1031,Kroger,RICOH-501-BK,BK,2025-08-18,1,low_alert,False,S000990,2025-08-20,2025-08-23,2025-08-23,Kroger Site 32
O0000080,KROGER-1032,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000318,2025-03-18,2025-03-21,2025-03-21,Kroger Site 33
O0000081,KROGER-1032,Kroger,RICOH-C3000-C,C,2025-03-18,1,manual_bulk,True,S000318,2025-03-18,2025-03-21,2025-03-21,Kroger Site 33
O0000082,KROGER-1032,Kroger,RICOH-C3000-C,C,2025-03-18,1,manual_bulk,True,S000318,2025-03-18,2025-03-21,2025-03-21,Kroger Site 33
O0000083,KROGER-1033,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000329,2025-03-20,2025-03-22,2025-03-22,Kroger Site 34
O0000084,KROGER-1033,Kroger,RICOH-501-BK,BK,2025-03-31,1,low_alert,False,S000611,2025-04-02,2025-04-04,2025-04-04,Kroger Site 34
O0000085,KROGER-1035,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000341,2025-03-20,2025-03-25,2025-03-25,Kroger Site 36
O0000086,KROGER-1035,Kroger,RICOH-C3000-BK,BK,2025-07-09,1,low_alert,False,S000889,2025-07-09,2025-07-12,2025-07-12,Kroger Site 36
O0000087,KROGER-1036,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000345,2025-03-19,2025-03-21,2025-03-22,Kroger Site 37
O0000088,KROGER-1036,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000345,2025-03-19,2025-03-21,2025-03-22,Kroger Site 37
O0000089,KROGER-1036,Kroger,RICOH-C3000-Y,Y,2025-03-18,1,manual_bulk,True,S000346,2025-03-18,2025-03-20,2025-03-20,Kroger Site 37
O0000090,KROGER-1037,Kroger,RICOH-C3000-BK,BK,2024-12-20,1,low_alert,False,S000018,2024-12-20,2024-12-22,2024-12-22,Kroger Site 38
O0000091,KROGER-1037,Kroger,RICOH-C3000-BK,BK,2024-12-21,1,low_alert,False,S000021,2024-12-21,2024-12-24,2024-12-24,Kroger Site 38
O0000092,KROGER-1037,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000353,2025-03-18,2025-03-21,2025-03-21,Kroger Site 38
O0000093,KROGER-1037,Kroger,RICOH-C3000-BK,BK,2025-04-25,1,low_alert,False,S000697,2025-04-27,2025-04-29,2025-04-30,Kroger Site 38
O0000094,KROGER-1037,Kroger,RICOH-C3000-BK,BK,2025-08-29,1,low_alert,False,S001030,2025-08-29,2025-08-31,2025-08-31,Kroger Site 38
O0000095,KROGER-1037,Kroger,RICOH-C3000-BK,BK,2025-08-30,1,low_alert,False,S001037,2025-08-31,2025-09-02,2025-09-02,Kroger Site 38
O0000096,KROGER-1037,Kroger,RICOH-C3000-BK,BK,2025-08-31,1,low_alert,False,S001046,2025-09-01,2025-09-03,2025-09-03,Kroger Site 38
O0000097,KROGER-1038,Kroger,RICOH-501-BK,BK,2025-01-02,1,low_alert,False,S000038,2025-01-03,2025-01-06,2025-01-06,Kroger Site 39
O0000098,KROGER-1038,Kroger,RICOH-501-BK,BK,2025-05-22,1,low_alert,False,S000757,2025-05-23,2025-05-26,2025-05-26,Kroger Site 39
O0000099,KROGER-1039,Kroger,CANON-4551-BK,BK,2025-07-11,1,low_alert,False,S000892,2025-07-13,2025-07-15,2025-07-15,Kroger Site 40
O0000100,KROGER-1040,Kroger,CANON-4551-BK,BK,2025-02-26,1,low_alert,False,S000124,2025-02-27,2025-03-02,2025-03-02,Kroger Site 41
O0000101,KROGER-1041,Kroger,HP-37A-BK,BK,2025-07-16,1,low_alert,False,S000908,2025-07-16,2025-07-18,2025-07-18,Kroger Site 42
O0000102,KROGER-1042,Kroger,CANON-4551-BK,BK,2025-03-21,1,low_alert,False,S000585,2025-03-23,2025-03-25,2025-03-25,Kroger Site 43
O0000103,KROGER-1046,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000390,2025-03-18,2025-03-21,2025-03-21,Kroger Site 47
O0000104,KROGER-1046,Kroger,RICOH-501-BK,BK,2025-04-14,1,low_alert,False,S000656,2025-04-14,2025-04-17,2025-04-17,Kroger Site 47
O0000105,KROGER-1047,Kroger,RICOH-501-BK,BK,2024-12-12,1,low_alert,False,S000008,2024-12-14,2024-12-18,2024-12-18,Kroger Site 48
O0000106,KROGER-1047,Kroger,RICOH-501-BK,BK,2025-04-02,1,low_alert,False,S000618,2025-04-04,2025-04-07,2025-04-07,Kroger Site 48
O0000107,KROGER-1047,Kroger,RICOH-501-BK,BK,2025-07-26,1,low_alert,False,S000933,2025-07-27,2025-07-29,2025-07-29,Kroger Site 48
O0000108,KROGER-1048,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000399,2025-03-18,2025-03-20,2025-03-20,Kroger Site 49
O0000109,KROGER-1048,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000399,2025-03-18,2025-03-20,2025-03-20,Kroger Site 49
O0000110,KROGER-1048,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000399,2025-03-18,2025-03-20,2025-03-20,Kroger Site 49
O0000111,KROGER-1048,Kroger,RICOH-501-BK,BK,2025-04-27,1,low_alert,False,S000704,2025-04-29,2025-05-03,2025-05-03,Kroger Site 49
O0000112,KROGER-1049,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000413,2025-03-19,2025-03-21,2025-03-21,Kroger Site 50
O0000113,KROGER-1049,Kroger,RICOH-C3000-BK,BK,2025-06-17,1,low_alert,False,S000829,2025-06-18,2025-06-20,2025-06-20,Kroger Site 50
O0000114,KROGER-1050,Kroger,HP-37A-BK,BK,2025-01-06,1,low_alert,False,S000040,2025-01-08,2025-01-10,2025-01-10,Kroger Site 51
O0000115,KROGER-1050,Kroger,HP-37A-BK,BK,2025-06-01,1,low_alert,False,S000778,2025-06-02,2025-06-04,2025-06-05,Kroger Site 51
O0000116,KROGER-1051,Kroger,CANON-4551-BK,BK,2025-04-27,1,low_alert,False,S000705,2025-04-29,2025-05-02,2025-05-02,Kroger Site 52
O0000117,KROGER-1052,Kroger,HP-37A-BK,BK,2025-06-13,1,low_alert,False,S000814,2025-06-14,2025-06-19,2025-06-19,Kroger Site 53
O0000118,KROGER-1053,Kroger,CANON-4551-BK,BK,2025-04-26,1,low_alert,False,S000701,2025-04-27,2025-04-29,2025-04-29,Kroger Site 54
O0000119,KROGER-1054,Kroger,HP-37A-BK,BK,2025-07-07,1,low_alert,False,S000885,2025-07-07,2025-07-10,2025-07-10,Kroger Site 55
O0000120,KROGER-1055,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000437,2025-03-20,2025-03-24,2025-03-24,Kroger Site 56
O0000121,KROGER-1055,Kroger,RICOH-C3000-BK,BK,2025-05-21,1,low_alert,False,S000753,2025-05-21,2025-05-23,2025-05-23,Kroger Site 56
O0000122,KROGER-1056,Kroger,RICOH-C3000-C,C,2025-03-18,1,manual_bulk,True,S000444,2025-03-18,2025-03-21,2025-03-22,Kroger Site 57
O0000123,KROGER-1057,Kroger,CANON-4551-BK,BK,2025-03-29,1,low_alert,False,S000606,2025-03-31,2025-04-03,2025-04-03,Kroger Site 58
O0000124,KROGER-1057,Kroger,CANON-4551-BK,BK,2025-03-30,1,low_alert,False,S000609,2025-03-31,2025-04-02,2025-04-02,Kroger Site 58
O0000125,KROGER-1058,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000455,2025-03-19,2025-03-22,2025-03-22,Kroger Site 59
O0000126,KROGER-1058,Kroger,RICOH-501-BK,BK,2025-06-04,1,low_alert,False,S000786,2025-06-04,2025-06-06,2025-06-07,Kroger Site 59
O0000127,KROGER-1058,Kroger,RICOH-501-BK,BK,2025-06-05,1,low_alert,False,S000788,2025-06-05,2025-06-08,2025-06-08,Kroger Site 59
O0000128,KROGER-1058,Kroger,RICOH-501-BK,BK,2025-06-06,1,low_alert,False,S000794,2025-06-06,2025-06-08,2025-06-08,Kroger Site 59
O0000129,KROGER-1059,Kroger,HP-37A-BK,BK,2025-02-26,1,low_alert,False,S000125,2025-02-26,2025-03-01,2025-03-01,Kroger Site 60
O0000130,KROGER-1060,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000480,2025-03-20,2025-03-23,2025-03-23,Kroger Site 61
O0000131,KROGER-1060,Kroger,RICOH-501-BK,BK,2025-07-10,1,low_alert,False,S000891,2025-07-10,2025-07-12,2025-07-12,Kroger Site 61
O0000132,KROGER-1060,Kroger,RICOH-501-BK,BK,2025-07-11,1,low_alert,False,S000894,2025-07-12,2025-07-16,2025-07-16,Kroger Site 61
O0000133,KROGER-1060,Kroger,RICOH-501-BK,BK,2025-07-12,1,low_alert,False,S000896,2025-07-12,2025-07-15,2025-07-15,Kroger Site 61
O0000134,KROGER-1062,Kroger,CANON-4551-BK,BK,2025-06-06,1,low_alert,False,S000796,2025-06-07,2025-06-12,2025-06-12,Kroger Site 63
O0000135,KROGER-1063,Kroger,RICOH-C3000-BK,BK,2024-12-13,1,low_alert,False,S000011,2024-12-14,2024-12-16,2024-12-18,Kroger Site 64
O0000136,KROGER-1063,Kroger,RICOH-C3000-Y,Y,2025-03-18,1,manual_bulk,True,S000497,2025-03-20,2025-03-23,2025-03-23,Kroger Site 64
O0000137,KROGER-1063,Kroger,RICOH-C3000-BK,BK,2025-03-30,1,low_alert,False,S000610,2025-03-30,2025-04-02,2025-04-02,Kroger Site 64
O0000138,KROGER-1063,Kroger,RICOH-C3000-BK,BK,2025-03-31,1,low_alert,False,S000614,2025-03-31,2025-04-02,2025-04-02,Kroger Site 64
O0000139,KROGER-1063,Kroger,RICOH-C3000-BK,BK,2025-07-23,1,low_alert,False,S000926,2025-07-23,2025-07-26,2025-07-27,Kroger Site 64
O0000140,KROGER-1064,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000502,2025-03-20,2025-03-23,2025-03-23,Kroger Site 65
O0000141,KROGER-1064,Kroger,RICOH-C3000-Y,Y,2025-03-18,1,manual_bulk,True,S000502,2025-03-20,2025-03-23,2025-03-23,Kroger Site 65
O0000142,KROGER-1064,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000502,2025-03-20,2025-03-23,2025-03-23,Kroger Site 65
O0000143,KROGER-1064,Kroger,RICOH-C3000-BK,BK,2025-05-28,1,low_alert,False,S000768,2025-05-29,2025-05-31,2025-05-31,Kroger Site 65
O0000144,KROGER-1068,Kroger,CANON-4551-BK,BK,2025-07-05,1,low_alert,False,S000879,2025-07-06,2025-07-10,2025-07-10,Kroger Site 69
O0000145,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2024-12-21,1,low_alert,False,S000022,2024-12-22,2024-12-26,2024-12-26,Kroger Site 71
O0000146,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2024-12-22,1,low_alert,False,S000023,2024-12-22,2024-12-24,2024-12-24,Kroger Site 71
O0000147,KROGER-1070,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000529,2025-03-19,2025-03-23,2025-03-23,Kroger Site 71
O0000148,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2025-04-24,1,low_alert,False,S000692,2025-04-26,2025-04-29,2025-04-29,Kroger Site 71
O0000149,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2025-04-25,1,low_alert,False,S000698,2025-04-25,2025-04-29,2025-04-29,Kroger Site 71
O0000150,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2025-08-27,1,low_alert,False,S001018,2025-08-29,2025-08-31,2025-08-31,Kroger Site 71
O0000151,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2025-08-28,1,low_alert,False,S001024,2025-08-29,2025-08-31,2025-08-31,Kroger Site 71
O0000152,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2025-08-29,1,low_alert,False,S001033,2025-08-29,2025-08-31,2025-08-31,Kroger Site 71
O0000153,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2025-08-30,1,low_alert,False,S001040,2025-08-30,2025-09-03,2025-09-03,Kroger Site 71
O0000154,KROGER-1070,Kroger,RICOH-C3000-BK,BK,2025-08-31,1,low_alert,False,S001049,2025-08-31,2025-09-02,2025-09-02,Kroger Site 71
O0000155,KROGER-1071,Kroger,RICOH-C3000-Y,Y,2025-03-18,1,manual_bulk,True,S000534,2025-03-20,2025-03-23,2025-03-23,Kroger Site 72
O0000156,KROGER-1071,Kroger,RICOH-C3000-BK,BK,2025-05-18,1,low_alert,False,S000745,2025-05-19,2025-05-22,2025-05-22,Kroger Site 72
O0000157,KROGER-1072,Kroger,HP-37A-BK,BK,2025-06-11,1,low_alert,False,S000811,2025-06-13,2025-06-15,2025-06-15,Kroger Site 73
O0000158,KROGER-1073,Kroger,CANON-4551-BK,BK,2025-01-11,1,low_alert,False,S000047,2025-01-13,2025-01-16,2025-01-17,Kroger Site 74
O0000159,KROGER-1073,Kroger,CANON-4551-BK,BK,2025-06-09,1,low_alert,False,S000807,2025-06-09,2025-06-14,2025-06-15,Kroger Site 74
O0000160,KROGER-1074,Kroger,RICOH-C3000-BK,BK,2024-12-20,1,low_alert,False,S000019,2024-12-21,2024-12-23,2024-12-23,Kroger Site 75
O0000161,KROGER-1074,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000542,2025-03-19,2025-03-21,2025-03-21,Kroger Site 75
O0000162,KROGER-1074,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000542,2025-03-19,2025-03-21,2025-03-21,Kroger Site 75
O0000163,KROGER-1074,Kroger,RICOH-C3000-BK,BK,2025-04-19,1,low_alert,False,S000671,2025-04-20,2025-04-24,2025-04-24,Kroger Site 75
O0000164,KROGER-1074,Kroger,RICOH-C3000-BK,BK,2025-08-22,1,low_alert,False,S001001,2025-08-24,2025-08-26,2025-08-28,Kroger Site 75
O0000165,KROGER-1075,Kroger,RICOH-C3000-BK,BK,2025-05-10,1,low_alert,False,S000726,2025-05-10,2025-05-15,2025-05-15,Kroger Site 76
O0000166,KROGER-1076,Kroger,HP-37A-BK,BK,2025-05-17,1,low_alert,False,S000740,2025-05-18,2025-05-21,2025-05-21,Kroger Site 77
O0000167,KROGER-1076,Kroger,HP-37A-BK,BK,2025-05-18,1,low_alert,False,S000746,2025-05-18,2025-05-22,2025-05-22,Kroger Site 77
O0000168,KROGER-1077,Kroger,CANON-4551-BK,BK,2025-03-07,1,low_alert,False,S000149,2025-03-08,2025-03-11,2025-03-11,Kroger Site 78
