order_id,device_id,client,toner_model,order_date,quantity,reason,oversupply_flag
O000129,LEX-1125,Lex & Co,RICOH-C3000-BK,2025-06-27,1,low_alert,False
O000130,LEX-1128,Lex & Co,RICOH-501-BK,2025-07-25,1,low_alert,False
O000131,LEX-1129,Lex & Co,RICOH-C3000-BK,2025-06-19,1,low_alert,False
O000132,LEX-1131,Lex & Co,RICOH-C3000-BK,2025-03-31,1,low_alert,False
O000133,LEX-1133,Lex & Co,CANON-4551-BK,2025-03-25,1,low_alert,False
O000134,LEX-1134,Lex & Co,RICOH-C3000-BK,2025-08-29,1,low_alert,False
O000135,LEX-1134,Lex & Co,RICOH-C3000-BK,2025-08-30,1,low_alert,False
O000136,LEX-1134,Lex & Co,RICOH-C3000-BK,2025-08-31,1,low_alert,False
O000137,LEX-1135,Lex & Co,RICOH-501-BK,2025-02-21,1,low_alert,False
O000138,LEX-1135,Lex & Co,RICOH-501-BK,2025-08-15,1,low_alert,False
O000139,LEX-1135,Lex & Co,RICOH-501-BK,2025-08-16,1,low_alert,False
O000140,LEX-1137,Lex & Co,CANON-4551-BK,2025-07-06,1,low_alert,False
O000141,LEX-1138,Lex & Co,RICOH-501-BK,2025-04-24,1,low_alert,False
O000142,LEX-1138,Lex & Co,RICOH-501-BK,2025-04-25,1,low_alert,False
O000143,LEX-1140,Lex & Co,CANON-4551-BK,2025-04-21,1,low_alert,False
O000144,LEX-1141,Lex & Co,RICOH-501-BK,2025-03-11,1,low_alert,False
O000145,LEX-1143,Lex & Co,HP-37A-BK,2025-08-21,1,low_alert,False
O000146,LEX-1144,Lex & Co,CANON-4551-BK,2025-04-20,1,low_alert,False
O000147,LEX-1145,Lex & Co,HP-37A-BK,2025-05-29,1,low_alert,False
O000148,LEX-1148,Lex & Co,RICOH-C3000-BK,2025-02-25,1,low_alert,False
O000149,LEX-1148,Lex & Co,RICOH-C3000-BK,2025-08-23,1,low_alert,False
O000150,LEX-1149,Lex & Co,RICOH-501-BK,2025-06-25,1,low_alert,False
O000151,LEX-1150,Lex & Co,RICOH-501-BK,2025-07-04,1,low_alert,False
O000152,LEX-1150,Lex & Co,RICOH-501-BK,2025-07-05,1,low_alert,False
O000153,LEX-1151,Lex & Co,RICOH-C3000-BK,2025-03-10,1,low_alert,False
O000154,LEX-1153,Lex & Co,RICOH-C3000-BK,2025-03-20,1,low_alert,False
O000155,LEX-1154,Lex & Co,RICOH-501-BK,2025-06-29,1,low_alert,False
O000156,LEX-1156,Lex & Co,RICOH-C3000-BK,2024-11-30,1,low_alert,False
O000157,LEX-1156,Lex & Co,RICOH-C3000-BK,2025-03-01,1,low_alert,False
O000158,LEX-1156,Lex & Co,RICOH-C3000-BK,2025-06-02,1,low_alert,False
O000159,LEX-1156,Lex & Co,RICOH-C3000-BK,2025-06-03,1,low_alert,False
O000160,LEX-1157,Lex & Co,RICOH-C3000-BK,2025-02-28,1,low_alert,False
O000161,LEX-1157,Lex & Co,RICOH-C3000-BK,2025-08-29,1,low_alert,False
O000162,LEX-1157,Lex & Co,RICOH-C3000-BK,2025-08-30,1,low_alert,False
O000163,LEX-1157,Lex & Co,RICOH-C3000-BK,2025-08-31,1,low_alert,False
O000164,LEX-1159,Lex & Co,RICOH-501-BK,2025-05-19,1,low_alert,False
O000165,TAXIFY-1161,Taxify LLP,RICOH-C3000-BK,2025-03-01,1,low_alert,False
O000166,TAXIFY-1161,Taxify LLP,RICOH-C3000-BK,2025-07-17,1,low_alert,False
O000167,TAXIFY-1162,Taxify LLP,HP-37A-BK,2025-04-07,1,low_alert,False
O000168,TAXIFY-1164,Taxify LLP,RICOH-501-BK,2025-04-04,1,low_alert,False
O000169,TAXIFY-1165,Taxify LLP,HP-37A-BK,2025-08-01,1,low_alert,False
O000170,TAXIFY-1165,Taxify LLP,HP-37A-BK,2025-08-02,1,low_alert,False
O000171,TAXIFY-1166,Taxify LLP,CANON-4551-BK,2025-03-12,1,low_alert,False
O000172,TAXIFY-1167,Taxify LLP,RICOH-501-BK,2025-02-25,1,low_alert,False
O000173,TAXIFY-1167,Taxify LLP,RICOH-501-BK,2025-06-26,1,low_alert,False
O000174,TAXIFY-1172,Taxify LLP,CANON-4551-BK,2025-05-22,1,low_alert,False
O000175,TAXIFY-1173,Taxify LLP,RICOH-501-BK,2025-06-24,1,low_alert,False
O000176,TAXIFY-1174,Taxify LLP,RICOH-C3000-BK,2025-03-24,1,low_alert,False
O000177,TAXIFY-1175,Taxify LLP,RICOH-C3000-BK,2025-02-26,1,low_alert,False
O000178,TAXIFY-1175,Taxify LLP,RICOH-C3000-BK,2025-02-27,1,low_alert,False
O000179,TAXIFY-1175,Taxify LLP,RICOH-C3000-BK,2025-07-03,1,low_alert,False
O000180,TAXIFY-1176,Taxify LLP,CANON-4551-BK,2025-05-07,1,low_alert,False
O000181,TAXIFY-1177,Taxify LLP,HP-37A-BK,2025-03-24,1,low_alert,False
O000182,TAXIFY-1178,Taxify LLP,CANON-4551-BK,2025-07-11,1,low_alert,False
O000183,TAXIFY-1179,Taxify LLP,CANON-4551-BK,2024-12-13,1,low_alert,False
O000184,TAXIFY-1179,Taxify LLP,CANON-4551-BK,2025-02-28,1,low_alert,False
O000185,TAXIFY-1179,Taxify LLP,CANON-4551-BK,2025-04-11,1,low_alert,False
O000186,TAXIFY-1179,Taxify LLP,CANON-4551-BK,2025-07-15,1,low_alert,False
O000187,TAXIFY-1180,Taxify LLP,CANON-4551-BK,2025-03-21,1,low_alert,False
O000188,TAXIFY-1183,Taxify LLP,RICOH-C3000-BK,2025-03-14,1,low_alert,False
O000189,TAXIFY-1183,Taxify LLP,RICOH-C3000-BK,2025-03-15,1,low_alert,False
O000190,TAXIFY-1183,Taxify LLP,RICOH-C3000-BK,2025-03-16,1,low_alert,False
O000191,TAXIFY-1184,Taxify LLP,CANON-4551-BK,2025-06-26,1,low_alert,False
O000192,TAXIFY-1185,Taxify LLP,HP-37A-BK,2025-05-26,1,low_alert,False
O000193,TAXIFY-1186,Taxify LLP,RICOH-C3000-BK,2025-03-13,1,low_alert,False
O000194,TAXIFY-1190,Taxify LLP,CANON-4551-BK,2025-08-24,1,low_alert,False
O000195,TAXIFY-1191,Taxify LLP,RICOH-501-BK,2025-04-14,1,low_alert,False
O000196,TAXIFY-1192,Taxify LLP,CANON-4551-BK,2025-04-15,1,low_alert,False
O000197,TAXIFY-1195,Taxify LLP,CANON-4551-BK,2025-04-05,1,low_alert,False
O000198,TAXIFY-1197,Taxify LLP,RICOH-C3000-BK,2025-03-31,1,low_alert,False
O000199,TAXIFY-1197,Taxify LLP,RICOH-C3000-BK,2025-04-01,1,low_alert,False
O000200,TAXIFY-1198,Taxify LLP,CANON-4551-BK,2025-04-30,1,low_alert,False
