shipment_id,client,location,ship_date,eta_date,delivered_date,orders_count,sla_days,days_in_transit,on_time,days_late
S000057,Kroger,Kroger Site 27,2025-01-24,2025-01-26,2025-01-26,1,2,2,True,0
S000058,Kroger,Kroger Site 2,2025-01-25,2025-01-28,2025-01-28,1,3,3,True,0
S000059,Kroger,Kroger Site 21,2025-01-24,2025-01-28,2025-01-28,1,4,4,True,0
S000060,Kroger,Kroger Site 2,2025-01-24,2025-01-28,2025-01-28,1,4,4,True,0
S000061,Kroger,Kroger Site 21,2025-01-26,2025-01-29,2025-01-29,1,3,3,True,0
S000062,Kroger,Kroger Site 40,2025-01-25,2025-01-27,2025-01-28,1,2,3,False,1
S000063,Kroger,Kroger Site 21,2025-01-26,2025-01-30,2025-01-30,1,4,4,True,0
S000064,Lex & Co,Lex & Co Site 28,2025-01-27,2025-01-30,2025-01-30,1,3,3,True,0
S000065,Taxify LLP,Taxify LLP Site 32,2025-01-27,2025-01-29,2025-01-29,1,2,2,True,0
S000066,Lex & Co,Lex & Co Site 5,2025-01-26,2025-01-29,2025-01-29,1,3,3,True,0
S000067,Taxify LLP,Taxify LLP Site 32,2025-01-26,2025-01-28,2025-01-28,1,2,2,True,0
S000068,Lex & Co,Lex & Co Site 5,2025-01-29,2025-01-31,2025-01-31,1,2,2,True,0
S000069,Kroger,Kroger Site 79,2025-01-30,2025-02-01,2025-02-01,1,2,2,True,0
S000070,Kroger,Kroger Site 7,2025-02-01,2025-02-04,2025-02-04,1,3,3,True,0
S000071,Lex & Co,Lex & Co Site 25,2025-01-31,2025-02-03,2025-02-03,1,3,3,True,0
S000072,Taxify LLP,Taxify LLP Site 77,2025-02-01,2025-02-04,2025-02-04,1,3,3,True,0
S000073,Taxify LLP,Taxify LLP Site 19,2025-02-03,2025-02-06,2025-02-06,1,3,3,True,0
S000074,Kroger,Kroger Site 3,2025-02-04,2025-02-06,2025-02-06,1,2,2,True,0
S000075,Kroger,Kroger Site 78,2025-02-02,2025-02-04,2025-02-04,1,2,2,True,0
S000076,Kroger,Kroger Site 3,2025-02-03,2025-02-06,2025-02-06,1,3,3,True,0
S000077,Kroger,Kroger Site 30,2025-02-04,2025-02-08,2025-02-08,1,4,4,True,0
S000078,Lex & Co,Lex & Co Site 68,2025-02-05,2025-02-08,2025-02-08,1,3,3,True,0
S000079,Kroger,Kroger Site 24,2025-02-08,2025-02-10,2025-02-10,1,2,2,True,0
S000080,Kroger,Kroger Site 5,2025-02-06,2025-02-09,2025-02-09,1,3,3,True,0
S000081,Kroger,Kroger Site 70,2025-02-06,2025-02-08,2025-02-08,1,2,2,True,0
S000082,Taxify LLP,Taxify LLP Site 69,2025-02-08,2025-02-10,2025-02-10,1,2,2,True,0
S000083,Kroger,Kroger Site 76,2025-02-10,2025-02-12,2025-02-12,1,2,2,True,0
S000084,Kroger,Kroger Site 76,2025-02-12,2025-02-14,2025-02-14,1,2,2,True,0
S000085,Kroger,Kroger Site 77,2025-02-13,2025-02-16,2025-02-17,1,3,4,False,1
S000086,Taxify LLP,Taxify LLP Site 27,2025-02-11,2025-02-14,2025-02-14,1,3,3,True,0
S000087,Kroger,Kroger Site 56,2025-02-13,2025-02-15,2025-02-15,1,2,2,True,0
S000088,Kroger,Kroger Site 76,2025-02-12,2025-02-14,2025-02-14,1,2,2,True,0
S000089,Taxify LLP,Taxify LLP Site 27,2025-02-13,2025-02-16,2025-02-16,1,3,3,True,0
S000090,Kroger,Kroger Site 20,2025-02-14,2025-02-16,2025-02-18,1,2,4,False,2
S000091,Kroger,Kroger Site 56,2025-02-15,2025-02-17,2025-02-17,1,2,2,True,0
S000092,Lex & Co,Lex & Co Site 48,2025-02-15,2025-02-18,2025-02-18,1,3,3,True,0
S000093,Lex & Co,Lex & Co Site 52,2025-02-16,2025-02-20,2025-02-20,1,4,4,True,0
S000094,Kroger,Kroger Site 16,2025-02-15,2025-02-19,2025-02-19,1,4,4,True,0
S000095,Kroger,Kroger Site 33,2025-02-17,2025-02-19,2025-02-19,1,2,2,True,0
S000096,Kroger,Kroger Site 80,2025-02-16,2025-02-18,2025-02-18,1,2,2,True,0
S000097,Lex & Co,Lex & Co Site 29,2025-02-15,2025-02-19,2025-02-21,1,4,6,False,2
S000098,Lex & Co,Lex & Co Site 51,2025-02-15,2025-02-18,2025-02-18,1,3,3,True,0
S000099,Lex & Co,Lex & Co Site 52,2025-02-16,2025-02-19,2025-02-19,1,3,3,True,0
S000100,Kroger,Kroger Site 49,2025-02-18,2025-02-21,2025-02-21,1,3,3,True,0
S000101,Lex & Co,Lex & Co Site 52,2025-02-17,2025-02-19,2025-02-19,1,2,2,True,0
S000102,Kroger,Kroger Site 10,2025-02-19,2025-02-21,2025-02-21,1,2,2,True,0
S000103,Kroger,Kroger Site 32,2025-02-18,2025-02-22,2025-02-22,1,4,4,True,0
S000104,Kroger,Kroger Site 39,2025-02-18,2025-02-21,2025-02-21,1,3,3,True,0
S000105,Taxify LLP,Taxify LLP Site 12,2025-02-19,2025-02-22,2025-02-22,1,3,3,True,0
S000106,Taxify LLP,Taxify LLP Site 20,2025-02-19,2025-02-21,2025-02-21,1,2,2,True,0
S000107,Kroger,Kroger Site 18,2025-02-20,2025-02-23,2025-02-24,1,3,4,False,1
S000108,Kroger,Kroger Site 34,2025-02-20,2025-02-23,2025-02-23,1,3,3,True,0
S000109,Kroger,Kroger Site 9,2025-02-22,2025-02-26,2025-02-26,1,4,4,True,0
S000110,Taxify LLP,Taxify LLP Site 20,2025-02-22,2025-02-24,2025-02-24,1,2,2,True,0
S000111,Kroger,Kroger Site 29,2025-02-23,2025-02-25,2025-02-25,1,2,2,True,0
S000112,Kroger,Kroger Site 34,2025-02-23,2025-02-26,2025-02-26,1,3,3,True,0
S000113,Taxify LLP,Taxify LLP Site 76,2025-02-23,2025-02-25,2025-02-25,1,2,2,True,0
S000114,Kroger,Kroger Site 73,2025-02-23,2025-02-26,2025-02-26,1,3,3,True,0
S000115,Kroger,Kroger Site 73,2025-02-24,2025-02-26,2025-02-26,1,2,2,True,0
S000116,Kroger,Kroger Site 14,2025-02-25,2025-02-28,2025-02-28,1,3,3,True,0
S000117,Kroger,Kroger Site 62,2025-02-26,2025-02-28,2025-03-02,1,2,4,False,2
S000118,Lex & Co,Lex & Co Site 1,2025-02-25,2025-03-02,2025-03-02,1,5,5,True,0
S000119,Lex & Co,Lex & Co Site 80,2025-02-24,2025-02-28,2025-02-28,1,4,4,True,0
S000120,Taxify LLP,Taxify LLP Site 63,2025-02-24,2025-02-26,2025-02-26,1,2,2,True,0
S000121,Kroger,Kroger Site 33,2025-02-26,2025-02-28,2025-03-01,1,2,3,False,1
S000122,Lex & Co,Lex & Co Site 1,2025-02-26,2025-03-02,2025-03-02,1,4,4,True,0
S000123,Taxify LLP,Taxify LLP Site 31,2025-02-25,2025-02-28,2025-02-28,1,3,3,True,0
S000124,Kroger,Kroger Site 41,2025-02-27,2025-03-02,2025-03-02,1,3,3,True,0
S000125,Kroger,Kroger Site 60,2025-02-26,2025-03-01,2025-03-01,1,3,3,True,0
S000126,Lex & Co,Lex & Co Site 1,2025-02-28,2025-03-02,2025-03-02,1,2,2,True,0
S000127,Lex & Co,Lex & Co Site 35,2025-02-26,2025-03-01,2025-03-02,1,3,4,False,1
S000128,Taxify LLP,Taxify LLP Site 16,2025-02-28,2025-03-04,2025-03-04,1,4,4,True,0
S000129,Taxify LLP,Taxify LLP Site 31,2025-02-28,2025-03-03,2025-03-03,1,3,3,True,0
S000130,Lex & Co,Lex & Co Site 1,2025-03-01,2025-03-05,2025-03-05,1,4,4,True,0
S000131,Lex & Co,Lex & Co Site 21,2025-02-27,2025-03-01,2025-03-03,1,2,4,False,2
S000132,Kroger,Kroger Site 50,2025-03-01,2025-03-06,2025-03-06,1,5,5,True,0
S000133,Kroger,Kroger Site 55,2025-03-02,2025-03-04,2025-03-04,1,2,2,True,0
S000134,Kroger,Kroger Site 46,2025-03-02,2025-03-05,2025-03-05,1,3,3,True,0
S000135,Lex & Co,Lex & Co Site 4,2025-03-04,2025-03-06,2025-03-06,1,2,2,True,0
S000136,Kroger,Kroger Site 14,2025-03-03,2025-03-07,2025-03-07,1,4,4,True,0
S000137,Kroger,Kroger Site 46,2025-03-04,2025-03-09,2025-03-09,2,5,5,True,0
S000138,Kroger,Kroger Site 75,2025-03-05,2025-03-07,2025-03-07,1,2,2,True,0
S000139,Lex & Co,Lex & Co Site 64,2025-03-03,2025-03-06,2025-03-06,1,3,3,True,0
S000140,Taxify LLP,Taxify LLP Site 18,2025-03-03,2025-03-05,2025-03-05,1,2,2,True,0
S000141,Taxify LLP,Taxify LLP Site 36,2025-03-03,2025-03-05,2025-03-06,1,2,3,False,1
S000142,Taxify LLP,Taxify LLP Site 55,2025-03-05,2025-03-07,2025-03-07,1,2,2,True,0
S000143,Taxify LLP,Taxify LLP Site 62,2025-03-04,2025-03-06,2025-03-06,1,2,2,True,0
S000144,Taxify LLP,Taxify LLP Site 55,2025-03-05,2025-03-08,2025-03-10,1,3,5,False,2
S000145,Taxify LLP,Taxify LLP Site 67,2025-03-05,2025-03-08,2025-03-08,1,3,3,True,0
S000146,Taxify LLP,Taxify LLP Site 68,2025-03-05,2025-03-08,2025-03-08,1,3,3,True,0
S000147,Taxify LLP,Taxify LLP Site 9,2025-03-06,2025-03-09,2025-03-09,1,3,3,True,0
S000148,Kroger,Kroger Site 4,2025-03-07,2025-03-10,2025-03-10,1,3,3,True,0
S000149,Kroger,Kroger Site 78,2025-03-08,2025-03-11,2025-03-11,1,3,3,True,0
S000150,Taxify LLP,Taxify LLP Site 1,2025-03-07,2025-03-09,2025-03-09,1,2,2,True,0
S000151,Taxify LLP,Taxify LLP Site 80,2025-03-08,2025-03-12,2025-03-12,1,4,4,True,0
S000152,Kroger,Kroger Site 22,2025-03-10,2025-03-14,2025-03-14,1,4,4,True,0
S000153,Lex & Co,Lex & Co Site 37,2025-03-09,2025-03-11,2025-03-11,1,2,2,True,0
S000154,Lex & Co,Lex & Co Site 61,2025-03-10,2025-03-13,2025-03-13,1,3,3,True,0
S000155,Taxify LLP,Taxify LLP Site 52,2025-03-09,2025-03-11,2025-03-12,1,2,3,False,1
S000156,Taxify LLP,Taxify LLP Site 80,2025-03-11,2025-03-13,2025-03-13,1,2,2,True,0
S000157,Kroger,Kroger Site 60,2025-03-12,2025-03-17,2025-03-17,1,5,5,True,0
S000158,Taxify LLP,Taxify LLP Site 43,2025-03-12,2025-03-14,2025-03-14,1,2,2,True,0
S000159,Lex & Co,Lex & Co Site 71,2025-03-12,2025-03-15,2025-03-15,1,3,3,True,0
S000160,Lex & Co,Lex & Co Site 73,2025-03-12,2025-03-15,2025-03-15,1,3,3,True,0
S000161,Taxify LLP,Taxify LLP Site 57,2025-03-13,2025-03-17,2025-03-17,1,4,4,True,0
S000162,Taxify LLP,Taxify LLP Site 22,2025-03-14,2025-03-17,2025-03-17,1,3,3,True,0
S000163,Taxify LLP,Taxify LLP Site 54,2025-03-12,2025-03-14,2025-03-14,1,2,2,True,0
S000164,Kroger,Kroger Site 28,2025-03-14,2025-03-17,2025-03-17,1,3,3,True,0
S000165,Taxify LLP,Taxify LLP Site 22,2025-03-15,2025-03-17,2025-03-17,1,2,2,True,0
S000166,Taxify LLP,Taxify LLP Site 11,2025-03-14,2025-03-16,2025-03-18,1,2,4,False,2
S000167,Taxify LLP,Taxify LLP Site 29,2025-03-16,2025-03-18,2025-03-18,1,2,2,True,0
S000168,Taxify LLP,Taxify LLP Site 39,2025-03-14,2025-03-16,2025-03-16,1,2,2,True,0
S000169,Kroger,Kroger Site 28,2025-03-17,2025-03-20,2025-03-20,1,3,3,True,0
S000170,Kroger,Kroger Site 36,2025-03-15,2025-03-18,2025-03-20,1,3,5,False,2
S000171,Kroger,Kroger Site 80,2025-03-16,2025-03-19,2025-03-19,1,3,3,True,0
S000172,Kroger,Kroger Site 80,2025-03-18,2025-03-21,2025-03-21,1,3,3,True,0
S000173,Taxify LLP,Taxify LLP Site 24,2025-03-17,2025-03-19,2025-03-19,1,2,2,True,0
S000174,Kroger,Kroger Site 1,2025-03-19,2025-03-21,2025-03-21,5,2,2,True,0
S000175,Kroger,Kroger Site 1,2025-03-20,2025-03-23,2025-03-23,1,3,3,True,0
S000176,Kroger,Kroger Site 1,2025-03-18,2025-03-21,2025-03-22,2,3,4,False,1
S000177,Kroger,Kroger Site 10,2025-03-18,2025-03-21,2025-03-21,2,3,3,True,0
S000178,Kroger,Kroger Site 10,2025-03-18,2025-03-20,2025-03-20,1,2,2,True,0
S000179,Kroger,Kroger Site 10,2025-03-18,2025-03-20,2025-03-20,6,2,2,True,0
S000180,Kroger,Kroger Site 10,2025-03-20,2025-03-25,2025-03-25,4,5,5,True,0
S000181,Kroger,Kroger Site 10,2025-03-18,2025-03-20,2025-03-20,1,2,2,True,0
S000182,Kroger,Kroger Site 11,2025-03-19,2025-03-22,2025-03-22,2,3,3,True,0
S000183,Kroger,Kroger Site 11,2025-03-19,2025-03-22,2025-03-22,3,3,3,True,0
S000184,Kroger,Kroger Site 11,2025-03-19,2025-03-21,2025-03-21,1,2,2,True,0
S000185,Kroger,Kroger Site 11,2025-03-20,2025-03-24,2025-03-25,4,4,5,False,1
S000186,Kroger,Kroger Site 11,2025-03-20,2025-03-23,2025-03-23,7,3,3,True,0
S000187,Kroger,Kroger Site 11,2025-03-18,2025-03-20,2025-03-20,1,2,2,True,0
S000188,Kroger,Kroger Site 11,2025-03-20,2025-03-23,2025-03-23,5,3,3,True,0
S000189,Kroger,Kroger Site 11,2025-03-20,2025-03-22,2025-03-22,6,2,2,True,0
S000190,Kroger,Kroger Site 11,2025-03-19,2025-03-21,2025-03-21,9,2,2,True,0
S000191,Kroger,Kroger Site 11,2025-03-20,2025-03-23,2025-03-23,3,3,3,True,0
S000192,Kroger,Kroger Site 11,2025-03-19,2025-03-24,2025-03-24,3,5,5,True,0
S000193,Kroger,Kroger Site 11,2025-03-20,2025-03-24,2025-03-24,1,4,4,True,0
S000194,Kroger,Kroger Site 12,2025-03-19,2025-03-22,2025-03-23,1,3,4,False,1
S000195,Kroger,Kroger Site 12,2025-03-19,2025-03-23,2025-03-23,6,4,4,True,0
S000196,Kroger,Kroger Site 12,2025-03-20,2025-03-23,2025-03-23,6,3,3,True,0
S000197,Kroger,Kroger Site 12,2025-03-18,2025-03-20,2025-03-20,2,2,2,True,0
S000198,Kroger,Kroger Site 12,2025-03-20,2025-03-23,2025-03-23,4,3,3,True,0
S000199,Kroger,Kroger Site 12,2025-03-20,2025-03-24,2025-03-24,1,4,4,True,0
S000200,Kroger,Kroger Site 13,2025-03-20,2025-03-22,2025-03-22,9,2,2,True,0
S000201,Kroger,Kroger Site 13,2025-03-19,2025-03-22,2025-03-23,2,3,4,False,1
S000202,Kroger,Kroger Site 13,2025-03-18,2025-03-23,2025-03-23,1,5,5,True,0
S000203,Kroger,Kroger Site 14,2025-03-20,2025-03-22,2025-03-22,9,2,2,True,0
S000204,Kroger,Kroger Site 14,2025-03-19,2025-03-21,2025-03-21,4,2,2,True,0
S000205,Kroger,Kroger Site 14,2025-03-20,2025-03-22,2025-03-22,9,2,2,True,0
S000206,Kroger,Kroger Site 14,2025-03-18,2025-03-21,2025-03-21,2,3,3,True,0
S000207,Kroger,Kroger Site 14,2025-03-18,2025-03-21,2025-03-21,7,3,3,True,0
S000208,Kroger,Kroger Site 14,2025-03-19,2025-03-21,2025-03-21,1,2,2,True,0
S000209,Kroger,Kroger Site 15,2025-03-18,2025-03-21,2025-03-21,3,3,3,True,0
S000210,Kroger,Kroger Site 15,2025-03-20,2025-03-22,2025-03-22,9,2,2,True,0
S000211,Kroger,Kroger Site 15,2025-03-19,2025-03-23,2025-03-23,3,4,4,True,0
S000212,Kroger,Kroger Site 15,2025-03-20,2025-03-23,2025-03-23,1,3,3,True,0
S000213,Kroger,Kroger Site 16,2025-03-19,2025-03-23,2025-03-23,4,4,4,True,0
S000214,Kroger,Kroger Site 16,2025-03-18,2025-03-22,2025-03-22,4,4,4,True,0
S000215,Kroger,Kroger Site 16,2025-03-18,2025-03-21,2025-03-21,4,3,3,True,0
S000216,Kroger,Kroger Site 16,2025-03-18,2025-03-20,2025-03-20,1,2,2,True,0
S000217,Kroger,Kroger Site 16,2025-03-20,2025-03-22,2025-03-22,2,2,2,True,0
S000218,Kroger,Kroger Site 16,2025-03-18,2025-03-20,2025-03-21,3,2,3,False,1
S000219,Kroger,Kroger Site 16,2025-03-18,2025-03-20,2025-03-20,1,2,2,True,0
S000220,Kroger,Kroger Site 17,2025-03-19,2025-03-21,2025-03-21,5,2,2,True,0
S000221,Kroger,Kroger Site 17,2025-03-18,2025-03-20,2025-03-20,8,2,2,True,0
S000222,Kroger,Kroger Site 18,2025-03-20,2025-03-22,2025-03-24,10,2,4,False,2
S000223,Kroger,Kroger Site 18,2025-03-20,2025-03-23,2025-03-23,6,3,3,True,0
S000224,Kroger,Kroger Site 18,2025-03-20,2025-03-22,2025-03-22,2,2,2,True,0
S000225,Kroger,Kroger Site 18,2025-03-20,2025-03-23,2025-03-23,1,3,3,True,0
S000226,Kroger,Kroger Site 18,2025-03-18,2025-03-20,2025-03-20,2,2,2,True,0
S000227,Kroger,Kroger Site 19,2025-03-20,2025-03-23,2025-03-23,6,3,3,True,0
S000228,Kroger,Kroger Site 19,2025-03-20,2025-03-23,2025-03-23,10,3,3,True,0
S000229,Kroger,Kroger Site 19,2025-03-18,2025-03-20,2025-03-20,2,2,2,True,0
S000230,Kroger,Kroger Site 2,2025-03-20,2025-03-23,2025-03-23,3,3,3,True,0
S000231,Kroger,Kroger Site 2,2025-03-19,2025-03-21,2025-03-21,6,2,2,True,0
S000232,Kroger,Kroger Site 2,2025-03-19,2025-03-22,2025-03-22,1,3,3,True,0
S000233,Kroger,Kroger Site 2,2025-03-18,2025-03-20,2025-03-20,5,2,2,True,0
S000234,Kroger,Kroger Site 2,2025-03-18,2025-03-20,2025-03-20,1,2,2,True,0
S000235,Kroger,Kroger Site 20,2025-03-19,2025-03-21,2025-03-21,9,2,2,True,0
S000236,Kroger,Kroger Site 20,2025-03-20,2025-03-23,2025-03-24,9,3,4,False,1
S000237,Kroger,Kroger Site 20,2025-03-20,2025-03-24,2025-03-24,9,4,4,True,0
S000238,Kroger,Kroger Site 20,2025-03-18,2025-03-22,2025-03-22,1,4,4,True,0
S000239,Kroger,Kroger Site 20,2025-03-18,2025-03-21,2025-03-21,4,3,3,True,0
S000240,Kroger,Kroger Site 20,2025-03-18,2025-03-20,2025-03-20,1,2,2,True,0
S000241,Kroger,Kroger Site 21,2025-03-19,2025-03-22,2025-03-22,8,3,3,True,0
S000242,Kroger,Kroger Site 21,2025-03-20,2025-03-23,2025-03-23,4,3,3,True,0
S000243,Kroger,Kroger Site 21,2025-03-19,2025-03-21,2025-03-21,1,2,2,True,0
S000244,Kroger,Kroger Site 21,2025-03-19,2025-03-22,2025-03-22,5,3,3,True,0
S000245,Kroger,Kroger Site 21,2025-03-20,2025-03-22,2025-03-24,2,2,4,False,2
S000246,Kroger,Kroger Site 21,2025-03-18,2025-03-21,2025-03-21,1,3,3,True,0
S000247,Kroger,Kroger Site 22,2025-03-20,2025-03-23,2025-03-23,5,3,3,True,0
S000248,Kroger,Kroger Site 22,2025-03-18,2025-03-21,2025-03-21,6,3,3,True,0
S000249,Kroger,Kroger Site 22,2025-03-19,2025-03-22,2025-03-22,1,3,3,True,0
S000250,Kroger,Kroger Site 22,2025-03-20,2025-03-24,2025-03-24,2,4,4,True,0
S000251,Kroger,Kroger Site 22,2025-03-18,2025-03-20,2025-03-20,3,2,2,True,0
S000252,Kroger,Kroger Site 22,2025-03-19,2025-03-23,2025-03-23,1,4,4,True,0
S000253,Kroger,Kroger Site 23,2025-03-19,2025-03-22,2025-03-22,6,3,3,True,0
S000254,Kroger,Kroger Site 23,2025-03-20,2025-03-22,2025-03-22,2,2,2,True,0
S000255,Kroger,Kroger Site 23,2025-03-19,2025-03-24,2025-03-25,7,5,6,False,1
S000256,Kroger,Kroger Site 23,2025-03-20,2025-03-23,2025-03-23,2,3,3,True,0
S000257,Kroger,Kroger Site 23,2025-03-19,2025-03-23,2025-03-24,6,4,5,False,1
S000258,Kroger,Kroger Site 24,2025-03-18,2025-03-20,2025-03-20,3,2,2,True,0
S000259,Kroger,Kroger Site 24,2025-03-20,2025-03-22,2025-03-22,10,2,2,True,0
S000260,Kroger,Kroger Site 24,2025-03-20,2025-03-22,2025-03-23,1,2,3,False,1
S000261,Kroger,Kroger Site 24,2025-03-19,2025-03-22,2025-03-22,6,3,3,True,0
S000262,Kroger,Kroger Site 24,2025-03-18,2025-03-21,2025-03-21,6,3,3,True,0
S000263,Kroger,Kroger Site 24,2025-03-18,2025-03-21,2025-03-22,3,3,4,False,1
S000264,Kroger,Kroger Site 24,2025-03-18,2025-03-21,2025-03-21,2,3,3,True,0
S000265,Kroger,Kroger Site 24,2025-03-20,2025-03-23,2025-03-23,1,3,3,True,0
S000266,Kroger,Kroger Site 24,2025-03-18,2025-03-22,2025-03-22,1,4,4,True,0
S000267,Kroger,Kroger Site 25,2025-03-20,2025-03-22,2025-03-22,3,2,2,True,0
S000268,Kroger,Kroger Site 25,2025-03-18,2025-03-20,2025-03-20,3,2,2,True,0
S000269,Kroger,Kroger Site 25,2025-03-18,2025-03-20,2025-03-20,5,2,2,True,0
S000270,Kroger,Kroger Site 25,2025-03-20,2025-03-22,2025-03-22,10,2,2,True,0
S000271,Kroger,Kroger Site 25,2025-03-20,2025-03-23,2025-03-23,2,3,3,True,0
S000272,Kroger,Kroger Site 25,2025-03-20,2025-03-22,2025-03-23,1,2,3,False,1
S000273,Kroger,Kroger Site 25,2025-03-18,2025-03-22,2025-03-22,2,4,4,True,0
S000274,Kroger,Kroger Site 25,2025-03-19,2025-03-21,2025-03-21,2,2,2,True,0
S000275,Kroger,Kroger Site 26,2025-03-20,2025-03-23,2025-03-23,8,3,3,True,0
