device_id,alert_date,toner_color,level_percent,alert_type
KROGER-1189,2025-02-03,BK,19.6,TONER_LOW
KROGER-1189,2025-07-21,BK,19.6,TONER_LOW
KROGER-1190,2025-05-22,BK,19.8,TONER_LOW
KROGER-1191,2025-07-20,BK,19.9,TONER_LOW
KROGER-1192,2025-01-11,BK,19.7,TONER_LOW
KROGER-1192,2025-06-09,BK,19.8,TONER_LOW
KROGER-1192,2025-06-10,BK,19.2,TONER_LOW
KROGER-1195,2024-12-30,BK,19.7,TONER_LOW
KROGER-1195,2025-05-15,BK,19.5,TONER_LOW
KROGER-1197,2025-04-16,BK,19.7,TONER_LOW
KROGER-1198,2025-02-17,BK,19.8,TONER_LOW
KROGER-1198,2025-08-22,BK,19.6,TONER_LOW
KROGER-1199,2025-06-06,BK,19.8,TONER_LOW
KROGER-1201,2025-01-16,BK,19.9,TONER_LOW
KROGER-1201,2025-06-17,BK,19.9,TONER_LOW
KROGER-1204,2025-07-11,BK,19.8,TONER_LOW
KROGER-1205,2025-03-02,BK,19.8,TONER_LOW
KROGER-1205,2025-03-03,BK,19.4,TONER_LOW
KROGER-1206,2025-04-26,BK,19.8,TONER_LOW
KROGER-1206,2025-04-27,BK,19.5,TONER_LOW
KROGER-1207,2025-03-27,BK,20.0,TONER_LOW
KROGER-1208,2025-07-18,BK,20.0,TONER_LOW
KROGER-1209,2025-06-15,BK,19.8,TONER_LOW
KROGER-1211,2025-07-05,BK,19.8,TONER_LOW
KROGER-1211,2025-07-06,BK,19.6,TONER_LOW
KROGER-1212,2025-04-16,BK,19.7,TONER_LOW
KROGER-1213,2025-05-18,BK,19.8,TONER_LOW
KROGER-1214,2025-03-01,BK,19.7,TONER_LOW
KROGER-1215,2025-08-16,BK,19.8,TONER_LOW
KROGER-1216,2025-08-09,BK,20.0,TONER_LOW
KROGER-1216,2025-08-10,BK,19.7,TONER_LOW
KROGER-1217,2025-05-18,BK,20.0,TONER_LOW
KROGER-1218,2025-06-18,BK,19.8,TONER_LOW
KROGER-1219,2025-03-22,BK,19.8,TONER_LOW
KROGER-1219,2025-03-23,BK,19.4,TONER_LOW
KROGER-1220,2025-06-01,BK,19.8,TONER_LOW
KROGER-1221,2024-12-10,BK,19.7,TONER_LOW
KROGER-1221,2025-03-26,BK,19.4,TONER_LOW
KROGER-1221,2025-07-16,BK,19.9,TONER_LOW
KROGER-1221,2025-07-17,BK,19.2,TONER_LOW
KROGER-1221,2025-07-18,BK,18.5,TONER_LOW
KROGER-1222,2025-06-21,BK,20.0,TONER_LOW
KROGER-1222,2025-06-22,BK,19.7,TONER_LOW
KROGER-1222,2025-06-23,BK,19.5,TONER_LOW
KROGER-1223,2025-06-24,BK,20.0,TONER_LOW
KROGER-1225,2025-04-13,BK,19.8,TONER_LOW
KROGER-1225,2025-04-14,BK,19.5,TONER_LOW
KROGER-1226,2025-03-19,BK,19.7,TONER_LOW
KROGER-1227,2025-08-29,BK,20.0,TONER_LOW
KROGER-1227,2025-08-30,BK,19.8,TONER_LOW
KROGER-1227,2025-08-31,BK,19.6,TONER_LOW
KROGER-1228,2025-06-02,BK,19.9,TONER_LOW
KROGER-1229,2025-02-06,BK,19.8,TONER_LOW
KROGER-1229,2025-08-01,BK,19.6,TONER_LOW
KROGER-1230,2025-06-09,BK,19.9,TONER_LOW
KROGER-1231,2025-08-10,BK,19.9,TONER_LOW
KROGER-1232,2025-02-22,BK,19.9,TONER_LOW
KROGER-1232,2025-02-23,BK,19.6,TONER_LOW
KROGER-1233,2025-05-11,BK,19.8,TONER_LOW
KROGER-1233,2025-05-12,BK,19.5,TONER_LOW
KROGER-1234,2025-05-07,BK,19.8,TONER_LOW
KROGER-1235,2025-02-10,BK,19.8,TONER_LOW
KROGER-1235,2025-02-11,BK,19.4,TONER_LOW
KROGER-1235,2025-02-12,BK,18.9,TONER_LOW
KROGER-1235,2025-08-09,BK,19.7,TONER_LOW
KROGER-1236,2025-02-11,BK,19.8,TONER_LOW
KROGER-1236,2025-08-10,BK,19.7,TONER_LOW
KROGER-1237,2025-05-25,BK,19.7,TONER_LOW
KROGER-1237,2025-05-26,BK,19.4,TONER_LOW
KROGER-1238,2025-06-18,BK,20.0,TONER_LOW
KROGER-1239,2025-03-16,BK,19.7,TONER_LOW
KROGER-1239,2025-03-17,BK,19.3,TONER_LOW
KROGER-1240,2025-06-07,BK,20.0,TONER_LOW
KROGER-1242,2025-02-02,BK,19.6,TONER_LOW
KROGER-1242,2025-02-03,BK,19.2,TONER_LOW
KROGER-1242,2025-07-23,BK,19.8,TONER_LOW
KROGER-1243,2025-05-24,BK,20.0,TONER_LOW
KROGER-1244,2025-02-06,BK,19.9,TONER_LOW
KROGER-1244,2025-07-31,BK,19.6,TONER_LOW
KROGER-1244,2025-08-01,BK,19.1,TONER_LOW
KROGER-1246,2025-01-30,BK,19.8,TONER_LOW
KROGER-1246,2025-07-18,BK,19.7,TONER_LOW
KROGER-1246,2025-07-19,BK,19.3,TONER_LOW
KROGER-1248,2025-06-06,BK,19.9,TONER_LOW
KROGER-1250,2025-07-14,BK,19.8,TONER_LOW
KROGER-1250,2025-07-15,BK,19.6,TONER_LOW
KROGER-1251,2025-06-23,BK,19.9,TONER_LOW
KROGER-1252,2025-06-17,BK,19.8,TONER_LOW
KROGER-1253,2025-03-03,BK,19.7,TONER_LOW
KROGER-1254,2025-06-17,BK,19.9,TONER_LOW
KROGER-1255,2025-02-15,BK,19.8,TONER_LOW
KROGER-1255,2025-08-16,BK,19.8,TONER_LOW
KROGER-1256,2025-08-01,BK,20.0,TONER_LOW
KROGER-1256,2025-08-02,BK,19.7,TONER_LOW
KROGER-1258,2025-05-30,BK,20.0,TONER_LOW
KROGER-1258,2025-05-31,BK,19.6,TONER_LOW
KROGER-1259,2025-02-13,BK,19.9,TONER_LOW
KROGER-1259,2025-08-14,BK,19.9,TONER_LOW
KROGER-1260,2025-01-23,BK,19.6,TONER_LOW
KROGER-1260,2025-01-24,BK,19.2,TONER_LOW
KROGER-1260,2025-01-25,BK,18.7,TONER_LOW
KROGER-1260,2025-07-05,BK,19.6,TONER_LOW
KROGER-1261,2025-03-09,BK,19.9,TONER_LOW
KROGER-1263,2025-04-19,BK,19.7,TONER_LOW
KROGER-1264,2025-01-19,BK,19.8,TONER_LOW
KROGER-1264,2025-01-20,BK,19.4,TONER_LOW
KROGER-1264,2025-06-28,BK,20.0,TONER_LOW
KROGER-1264,2025-06-29,BK,19.5,TONER_LOW
KROGER-1265,2025-05-18,BK,19.9,TONER_LOW
KROGER-1265,2025-05-19,BK,19.6,TONER_LOW
KROGER-1266,2025-08-08,BK,20.0,TONER_LOW
KROGER-1267,2025-03-13,BK,19.6,TONER_LOW
KROGER-1268,2025-06-18,BK,19.8,TONER_LOW
KROGER-1269,2025-04-13,BK,19.9,TONER_LOW
KROGER-1270,2025-05-26,BK,19.7,TONER_LOW
KROGER-1271,2024-12-25,BK,19.9,TONER_LOW
KROGER-1271,2025-05-03,BK,19.5,TONER_LOW
KROGER-1272,2025-02-25,BK,19.7,TONER_LOW
KROGER-1273,2025-08-29,BK,19.9,TONER_LOW
KROGER-1273,2025-08-30,BK,19.6,TONER_LOW
KROGER-1273,2025-08-31,BK,19.4,TONER_LOW
KROGER-1274,2025-03-24,BK,19.8,TONER_LOW
KROGER-1275,2025-03-15,BK,19.9,TONER_LOW
KROGER-1276,2025-06-23,BK,19.9,TONER_LOW
KROGER-1276,2025-06-24,BK,19.6,TONER_LOW
KROGER-1276,2025-06-25,BK,19.4,TONER_LOW
KROGER-1276,2025-06-26,BK,19.2,TONER_LOW
KROGER-1277,2025-06-06,BK,19.8,TONER_LOW
KROGER-1279,2025-01-24,BK,19.9,TONER_LOW
KROGER-1279,2025-07-05,BK,19.5,TONER_LOW
KROGER-1280,2025-06-30,BK,19.8,TONER_LOW
KROGER-1283,2025-06-20,BK,19.9,TONER_LOW
KROGER-1284,2025-04-01,BK,19.9,TONER_LOW
KROGER-1285,2025-06-06,BK,20.0,TONER_LOW
KROGER-1286,2025-04-02,BK,19.7,TONER_LOW
KROGER-1289,2025-02-28,BK,19.8,TONER_LOW
KROGER-1290,2025-03-31,BK,19.7,TONER_LOW
KROGER-1291,2025-05-31,BK,20.0,TONER_LOW
KROGER-1291,2025-06-01,BK,19.7,TONER_LOW
KROGER-1292,2025-01-21,BK,19.5,TONER_LOW
KROGER-1292,2025-06-28,BK,19.9,TONER_LOW
KROGER-1292,2025-06-29,BK,19.4,TONER_LOW
KROGER-1293,2025-08-26,BK,19.9,TONER_LOW
KROGER-1293,2025-08-27,BK,19.7,TONER_LOW
KROGER-1293,2025-08-28,BK,19.4,TONER_LOW
KROGER-1293,2025-08-29,BK,19.2,TONER_LOW
KROGER-1293,2025-08-30,BK,19.0,TONER_LOW
KROGER-1293,2025-08-31,BK,18.8,TONER_LOW
KROGER-1294,2025-07-20,BK,20.0,TONER_LOW
KROGER-1295,2025-02-12,BK,19.6,TONER_LOW
KROGER-1295,2025-02-13,BK,19.2,TONER_LOW
KROGER-1295,2025-08-10,BK,19.8,TONER_LOW
KROGER-1296,2025-01-14,BK,19.8,TONER_LOW
KROGER-1296,2025-06-12,BK,19.7,TONER_LOW
KROGER-1296,2025-06-13,BK,19.2,TONER_LOW
KROGER-1297,2025-04-15,BK,19.8,TONER_LOW
KROGER-1298,2025-01-07,BK,19.7,TONER_LOW
KROGER-1298,2025-01-08,BK,19.2,TONER_LOW
KROGER-1298,2025-06-02,BK,19.6,TONER_LOW
KROGER-1298,2025-06-03,BK,19.1,TONER_LOW
KROGER-1299,2025-08-21,BK,19.8,TONER_LOW
LEX-1300,2025-02-24,BK,20.0,TONER_LOW
LEX-1300,2025-02-25,BK,19.5,TONER_LOW
LEX-1300,2025-02-26,BK,19.1,TONER_LOW
LEX-1300,2025-02-27,BK,18.7,TONER_LOW
LEX-1300,2025-08-20,BK,19.9,TONER_LOW
LEX-1301,2025-04-22,BK,19.9,TONER_LOW
LEX-1303,2025-03-02,BK,19.8,TONER_LOW
LEX-1304,2025-01-26,BK,19.9,TONER_LOW
LEX-1304,2025-01-27,BK,19.4,TONER_LOW
LEX-1304,2025-06-26,BK,19.1,TONER_LOW
LEX-1304,2025-06-27,BK,18.4,TONER_LOW
LEX-1305,2025-05-15,BK,19.7,TONER_LOW
LEX-1305,2025-05-16,BK,19.4,TONER_LOW
LEX-1306,2025-04-09,BK,19.7,TONER_LOW
LEX-1307,2025-01-09,BK,19.9,TONER_LOW
LEX-1307,2025-06-06,BK,19.5,TONER_LOW
LEX-1307,2025-06-07,BK,19.0,TONER_LOW
LEX-1310,2025-06-13,BK,19.7,TONER_LOW
LEX-1311,2025-08-16,BK,20.0,TONER_LOW
LEX-1312,2024-12-31,BK,19.8,TONER_LOW
LEX-1312,2025-05-19,BK,19.6,TONER_LOW
LEX-1313,2025-03-20,BK,20.0,TONER_LOW
LEX-1314,2025-07-07,BK,19.8,TONER_LOW
LEX-1315,2025-06-09,BK,19.7,TONER_LOW
LEX-1316,2024-11-07,BK,19.6,TONER_LOW
LEX-1316,2025-01-15,BK,19.4,TONER_LOW
LEX-1316,2025-03-25,BK,19.5,TONER_LOW
LEX-1316,2025-06-10,BK,19.5,TONER_LOW
LEX-1316,2025-08-22,BK,19.1,TONER_LOW
LEX-1317,2025-07-03,BK,19.8,TONER_LOW
LEX-1318,2025-07-28,BK,20.0,TONER_LOW
LEX-1319,2025-03-27,BK,19.5,TONER_LOW
LEX-1320,2025-02-27,BK,19.8,TONER_LOW
LEX-1320,2025-08-25,BK,19.8,TONER_LOW
LEX-1321,2025-03-19,BK,19.3,TONER_LOW
LEX-1322,2025-08-17,BK,20.0,TONER_LOW
LEX-1324,2025-01-30,BK,19.6,TONER_LOW
LEX-1324,2025-07-02,BK,19.6,TONER_LOW
LEX-1325,2025-05-04,BK,19.9,TONER_LOW
LEX-1327,2025-01-25,BK,19.9,TONER_LOW
LEX-1327,2025-06-25,BK,19.6,TONER_LOW
LEX-1328,2025-02-15,BK,19.8,TONER_LOW
LEX-1328,2025-07-31,BK,19.7,TONER_LOW
LEX-1329,2025-05-22,BK,19.9,TONER_LOW
LEX-1330,2025-04-14,BK,19.8,TONER_LOW
LEX-1331,2025-03-27,BK,19.7,TONER_LOW
LEX-1332,2025-07-11,BK,19.9,TONER_LOW
LEX-1332,2025-07-12,BK,19.8,TONER_LOW
LEX-1334,2025-02-26,BK,19.8,TONER_LOW
