order_id,device_id,client,order_date,toner_color,reason,oversupply_flag,ship_date,eta_date,delivered_date
O0000042,KROGER-1014,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000044,KROGER-1015,Kroger,2025-03-18,C,manual_bulk,True,2025-03-19,2025-03-23,2025-03-23
O0000045,KROGER-1015,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-23,2025-03-23
O0000047,KROGER-1017,Kroger,2025-03-18,M,manual_bulk,True,2025-03-20,2025-03-22,2025-03-24
O0000050,KROGER-1018,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000052,KROGER-1020,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000053,KROGER-1020,Kroger,2025-04-03,BK,low_alert,False,2025-04-05,2025-04-07,2025-04-07
O0000057,KROGER-1022,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000060,KROGER-1023,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000062,KROGER-1023,Kroger,2025-08-26,BK,low_alert,False,2025-08-27,2025-08-29,2025-08-29
O0000063,KROGER-1023,Kroger,2025-08-27,BK,low_alert,False,2025-08-27,2025-08-29,2025-08-30
O0000064,KROGER-1023,Kroger,2025-08-28,BK,low_alert,False,2025-08-28,2025-08-31,2025-08-31
O0000067,KROGER-1025,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000068,KROGER-1025,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000071,KROGER-1028,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000073,KROGER-1029,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000074,KROGER-1029,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-24,2025-03-24
O0000075,KROGER-1029,Kroger,2025-03-18,C,manual_bulk,True,2025-03-20,2025-03-24,2025-03-24
O0000078,KROGER-1031,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000080,KROGER-1032,Kroger,2025-03-18,M,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000081,KROGER-1032,Kroger,2025-03-18,C,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000082,KROGER-1032,Kroger,2025-03-18,C,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000083,KROGER-1033,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000085,KROGER-1035,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-25,2025-03-25
O0000087,KROGER-1036,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-22
O0000088,KROGER-1036,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-21,2025-03-22
O0000089,KROGER-1036,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000090,KROGER-1037,Kroger,2024-12-20,BK,low_alert,False,2024-12-20,2024-12-22,2024-12-22
O0000092,KROGER-1037,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000094,KROGER-1037,Kroger,2025-08-29,BK,low_alert,False,2025-08-29,2025-08-31,2025-08-31
O0000095,KROGER-1037,Kroger,2025-08-30,BK,low_alert,False,2025-08-31,2025-09-02,2025-09-02
O0000096,KROGER-1037,Kroger,2025-08-31,BK,low_alert,False,2025-09-01,2025-09-03,2025-09-03
O0000103,KROGER-1046,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000108,KROGER-1048,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000109,KROGER-1048,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000110,KROGER-1048,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000112,KROGER-1049,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000120,KROGER-1055,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-24,2025-03-24
O0000122,KROGER-1056,Kroger,2025-03-18,C,manual_bulk,True,2025-03-18,2025-03-21,2025-03-22
O0000123,KROGER-1057,Kroger,2025-03-29,BK,low_alert,False,2025-03-31,2025-04-03,2025-04-03
O0000125,KROGER-1058,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000126,KROGER-1058,Kroger,2025-06-04,BK,low_alert,False,2025-06-04,2025-06-06,2025-06-07
O0000127,KROGER-1058,Kroger,2025-06-05,BK,low_alert,False,2025-06-05,2025-06-08,2025-06-08
O0000130,KROGER-1060,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000131,KROGER-1060,Kroger,2025-07-10,BK,low_alert,False,2025-07-10,2025-07-12,2025-07-12
O0000132,KROGER-1060,Kroger,2025-07-11,BK,low_alert,False,2025-07-12,2025-07-16,2025-07-16
O0000136,KROGER-1063,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000137,KROGER-1063,Kroger,2025-03-30,BK,low_alert,False,2025-03-30,2025-04-02,2025-04-02
O0000140,KROGER-1064,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000141,KROGER-1064,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000142,KROGER-1064,Kroger,2025-03-18,M,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000145,KROGER-1070,Kroger,2024-12-21,BK,low_alert,False,2024-12-22,2024-12-26,2024-12-26
O0000147,KROGER-1070,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-23,2025-03-23
O0000148,KROGER-1070,Kroger,2025-04-24,BK,low_alert,False,2025-04-26,2025-04-29,2025-04-29
O0000150,KROGER-1070,Kroger,2025-08-27,BK,low_alert,False,2025-08-29,2025-08-31,2025-08-31
O0000151,KROGER-1070,Kroger,2025-08-28,BK,low_alert,False,2025-08-29,2025-08-31,2025-08-31
O0000152,KROGER-1070,Kroger,2025-08-29,BK,low_alert,False,2025-08-29,2025-08-31,2025-08-31
O0000153,KROGER-1070,Kroger,2025-08-30,BK,low_alert,False,2025-08-30,2025-09-03,2025-09-03
O0000154,KROGER-1070,Kroger,2025-08-31,BK,low_alert,False,2025-08-31,2025-09-02,2025-09-02
O0000155,KROGER-1071,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000161,KROGER-1074,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000162,KROGER-1074,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000166,KROGER-1076,Kroger,2025-05-17,BK,low_alert,False,2025-05-18,2025-05-21,2025-05-21
O0000169,KROGER-1078,Kroger,2025-07-18,BK,low_alert,False,2025-07-18,2025-07-21,2025-07-21
O0000171,KROGER-1080,Kroger,2025-04-13,BK,low_alert,False,2025-04-15,2025-04-19,2025-04-19
O0000173,KROGER-1081,Kroger,2025-01-23,BK,low_alert,False,2025-01-25,2025-01-28,2025-01-28
O0000177,KROGER-1084,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000178,KROGER-1084,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000179,KROGER-1084,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000180,KROGER-1084,Kroger,2025-06-17,BK,low_alert,False,2025-06-17,2025-06-21,2025-06-22
O0000182,KROGER-1085,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000186,KROGER-1087,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000189,KROGER-1088,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000190,KROGER-1088,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000191,KROGER-1088,Kroger,2025-06-21,BK,low_alert,False,2025-06-21,2025-06-23,2025-06-23
O0000193,KROGER-1089,Kroger,2025-04-12,BK,low_alert,False,2025-04-13,2025-04-18,2025-04-18
O0000195,KROGER-1090,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000196,KROGER-1090,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000198,KROGER-1091,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-23
O0000202,KROGER-1095,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-23,2025-03-23
O0000203,KROGER-1095,Kroger,2025-04-19,BK,low_alert,False,2025-04-21,2025-04-24,2025-04-24
O0000204,KROGER-1095,Kroger,2025-04-20,BK,low_alert,False,2025-04-21,2025-04-23,2025-04-23
O0000205,KROGER-1095,Kroger,2025-04-21,BK,low_alert,False,2025-04-23,2025-04-25,2025-04-25
O0000207,KROGER-1096,Kroger,2024-12-13,BK,low_alert,False,2024-12-13,2024-12-16,2024-12-16
O0000208,KROGER-1096,Kroger,2024-12-14,BK,low_alert,False,2024-12-15,2024-12-17,2024-12-17
O0000210,KROGER-1096,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000211,KROGER-1096,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000215,KROGER-1097,Kroger,2025-08-31,BK,low_alert,False,2025-09-02,2025-09-05,2025-09-05
O0000220,KROGER-1104,Kroger,2025-04-28,BK,low_alert,False,2025-04-28,2025-05-02,2025-05-02
O0000224,KROGER-1106,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000227,KROGER-1108,Kroger,2024-12-09,BK,low_alert,False,2024-12-10,2024-12-13,2024-12-14
O0000231,KROGER-1109,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-24,2025-03-24
O0000234,KROGER-1111,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000237,KROGER-1112,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000239,KROGER-1113,Kroger,2025-02-20,BK,low_alert,False,2025-02-20,2025-02-23,2025-02-23
O0000241,KROGER-1113,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000242,KROGER-1113,Kroger,2025-03-18,M,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000243,KROGER-1113,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000244,KROGER-1113,Kroger,2025-08-29,BK,low_alert,False,2025-08-29,2025-08-31,2025-08-31
O0000245,KROGER-1113,Kroger,2025-08-30,BK,low_alert,False,2025-08-31,2025-09-02,2025-09-02
O0000246,KROGER-1113,Kroger,2025-08-31,BK,low_alert,False,2025-09-01,2025-09-04,2025-09-04
O0000247,KROGER-1115,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-25,2025-03-25
O0000248,KROGER-1115,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-25,2025-03-25
O0000252,KROGER-1118,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000255,KROGER-1119,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000259,KROGER-1123,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-25,2025-03-26
O0000261,KROGER-1124,Kroger,2025-03-18,C,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000262,KROGER-1124,Kroger,2025-04-23,BK,low_alert,False,2025-04-23,2025-04-26,2025-04-27
O0000270,KROGER-1130,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000271,KROGER-1130,Kroger,2025-03-18,M,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000272,KROGER-1130,Kroger,2025-03-18,M,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000274,KROGER-1131,Kroger,2025-07-13,BK,low_alert,False,2025-07-13,2025-07-16,2025-07-16
O0000277,KROGER-1133,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000279,KROGER-1134,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000280,KROGER-1135,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-24,2025-03-24
O0000281,KROGER-1136,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-22
O0000282,KROGER-1136,Kroger,2025-05-17,BK,low_alert,False,2025-05-17,2025-05-20,2025-05-20
O0000284,KROGER-1138,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000285,KROGER-1138,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000287,KROGER-1139,Kroger,2025-03-18,M,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000288,KROGER-1139,Kroger,2025-03-18,C,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000290,KROGER-1141,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-24,2025-03-24
O0000291,KROGER-1142,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-25,2025-03-25
O0000293,KROGER-1143,Kroger,2025-03-18,C,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000294,KROGER-1144,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000295,KROGER-1145,Kroger,2025-03-18,C,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000296,KROGER-1145,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000298,KROGER-1146,Kroger,2025-07-28,BK,low_alert,False,2025-07-28,2025-07-30,2025-07-30
O0000299,KROGER-1146,Kroger,2025-07-29,BK,low_alert,False,2025-07-29,2025-08-01,2025-08-01
O0000300,KROGER-1146,Kroger,2025-07-30,BK,low_alert,False,2025-07-30,2025-08-02,2025-08-02
O0000302,KROGER-1147,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000304,KROGER-1148,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000306,KROGER-1149,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000307,KROGER-1149,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000308,KROGER-1150,Kroger,2025-05-25,BK,low_alert,False,2025-05-26,2025-05-30,2025-05-30
O0000310,KROGER-1151,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000311,KROGER-1151,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000312,KROGER-1151,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000316,KROGER-1155,Kroger,2024-12-25,BK,low_alert,False,2024-12-26,2024-12-29,2024-12-29
O0000317,KROGER-1155,Kroger,2024-12-26,BK,low_alert,False,2024-12-28,2024-12-31,2025-01-01
O0000318,KROGER-1155,Kroger,2024-12-27,BK,low_alert,False,2024-12-27,2025-01-01,2025-01-01
O0000319,KROGER-1155,Kroger,2024-12-28,BK,low_alert,False,2024-12-30,2025-01-01,2025-01-01
O0000322,KROGER-1156,Kroger,2025-03-18,C,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000326,KROGER-1158,Kroger,2025-07-12,BK,low_alert,False,2025-07-13,2025-07-15,2025-07-15
O0000333,KROGER-1163,Kroger,2025-03-18,M,manual_bulk,True,2025-03-18,2025-03-21,2025-03-22
O0000334,KROGER-1163,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-22
O0000335,KROGER-1163,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000336,KROGER-1164,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000337,KROGER-1164,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000340,KROGER-1165,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000341,KROGER-1165,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000342,KROGER-1165,Kroger,2025-06-06,BK,low_alert,False,2025-06-07,2025-06-10,2025-06-10
O0000345,KROGER-1169,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000346,KROGER-1169,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000347,KROGER-1170,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000348,KROGER-1170,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000350,KROGER-1171,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-23,2025-03-23
O0000351,KROGER-1171,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-23,2025-03-23
O0000355,KROGER-1173,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000356,KROGER-1173,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000357,KROGER-1173,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000358,KROGER-1174,Kroger,2025-03-18,M,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000364,KROGER-1179,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000366,KROGER-1180,Kroger,2025-08-28,BK,low_alert,False,2025-08-29,2025-09-01,2025-09-01
O0000367,KROGER-1180,Kroger,2025-08-29,BK,low_alert,False,2025-08-31,2025-09-03,2025-09-03
O0000368,KROGER-1180,Kroger,2025-08-30,BK,low_alert,False,2025-09-01,2025-09-05,2025-09-05
O0000369,KROGER-1180,Kroger,2025-08-31,BK,low_alert,False,2025-09-02,2025-09-04,2025-09-04
O0000370,KROGER-1181,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000371,KROGER-1181,Kroger,2025-04-16,BK,low_alert,False,2025-04-16,2025-04-18,2025-04-19
O0000373,KROGER-1182,Kroger,2025-05-19,BK,low_alert,False,2025-05-19,2025-05-22,2025-05-22
O0000377,KROGER-1184,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000378,KROGER-1184,Kroger,2025-05-15,BK,low_alert,False,2025-05-15,2025-05-19,2025-05-19
O0000381,KROGER-1187,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000382,KROGER-1187,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000383,KROGER-1188,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000384,KROGER-1188,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000389,KROGER-1191,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000392,KROGER-1192,Kroger,2025-03-18,M,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000393,KROGER-1192,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000394,KROGER-1192,Kroger,2025-06-09,BK,low_alert,False,2025-06-09,2025-06-11,2025-06-11
O0000398,KROGER-1196,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000405,KROGER-1202,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000406,KROGER-1202,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000407,KROGER-1204,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000408,KROGER-1204,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000410,KROGER-1205,Kroger,2025-03-02,BK,low_alert,False,2025-03-02,2025-03-05,2025-03-05
O0000412,KROGER-1206,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000413,KROGER-1206,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-21
O0000414,KROGER-1206,Kroger,2025-04-26,BK,low_alert,False,2025-04-26,2025-04-28,2025-04-28
O0000417,KROGER-1208,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000420,KROGER-1210,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000421,KROGER-1210,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000422,KROGER-1210,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000423,KROGER-1211,Kroger,2025-07-05,BK,low_alert,False,2025-07-05,2025-07-08,2025-07-08
O0000426,KROGER-1213,Kroger,2025-03-18,C,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000427,KROGER-1213,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000430,KROGER-1214,Kroger,2025-03-18,C,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000432,KROGER-1216,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-21,2025-03-22
O0000433,KROGER-1216,Kroger,2025-08-09,BK,low_alert,False,2025-08-09,2025-08-11,2025-08-11
O0000436,KROGER-1218,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000437,KROGER-1218,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000439,KROGER-1219,Kroger,2025-03-22,BK,low_alert,False,2025-03-22,2025-03-24,2025-03-24
O0000443,KROGER-1221,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000445,KROGER-1221,Kroger,2025-07-16,BK,low_alert,False,2025-07-17,2025-07-21,2025-07-23
O0000446,KROGER-1221,Kroger,2025-07-17,BK,low_alert,False,2025-07-17,2025-07-19,2025-07-19
O0000448,KROGER-1222,Kroger,2025-06-21,BK,low_alert,False,2025-06-21,2025-06-23,2025-06-23
O0000449,KROGER-1222,Kroger,2025-06-22,BK,low_alert,False,2025-06-23,2025-06-25,2025-06-25
O0000452,KROGER-1225,Kroger,2025-03-18,C,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000453,KROGER-1225,Kroger,2025-03-18,M,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
O0000454,KROGER-1225,Kroger,2025-04-13,BK,low_alert,False,2025-04-15,2025-04-17,2025-04-17
O0000456,KROGER-1226,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000458,KROGER-1227,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000459,KROGER-1227,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000460,KROGER-1227,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000461,KROGER-1227,Kroger,2025-08-29,BK,low_alert,False,2025-08-31,2025-09-04,2025-09-04
O0000462,KROGER-1227,Kroger,2025-08-30,BK,low_alert,False,2025-08-30,2025-09-01,2025-09-01
O0000463,KROGER-1227,Kroger,2025-08-31,BK,low_alert,False,2025-09-01,2025-09-03,2025-09-03
O0000464,KROGER-1228,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-21,2025-03-21
