device_id,date,pages_printed,cum_pages
KROGER-1000,2025-04-08,810,190770
KROGER-1000,2025-04-09,938,191708
KROGER-1000,2025-04-10,918,192626
KROGER-1000,2025-04-11,769,193395
KROGER-1000,2025-04-12,1017,194412
KROGER-1000,2025-04-13,940,195352
KROGER-1000,2025-04-14,780,196132
KROGER-1000,2025-04-15,879,197011
KROGER-1000,2025-04-16,839,197850
KROGER-1000,2025-04-17,820,198670
KROGER-1000,2025-04-18,857,199527
KROGER-1000,2025-04-19,849,200376
KROGER-1000,2025-04-20,862,201238
KROGER-1000,2025-04-21,858,202096
KROGER-1000,2025-04-22,937,203033
KROGER-1000,2025-04-23,821,203854
KROGER-1000,2025-04-24,776,204630
KROGER-1000,2025-04-25,674,205304
KROGER-1000,2025-04-26,978,206282
KROGER-1000,2025-04-27,828,207110
KROGER-1000,2025-04-28,840,207950
KROGER-1000,2025-04-29,928,208878
KROGER-1000,2025-04-30,820,209698
KROGER-1000,2025-05-01,793,210491
KROGER-1000,2025-05-02,897,211388
KROGER-1000,2025-05-03,877,212265
KROGER-1000,2025-05-04,885,213150
KROGER-1000,2025-05-05,707,213857
KROGER-1000,2025-05-06,883,214740
KROGER-1000,2025-05-07,829,215569
KROGER-1000,2025-05-08,717,216286
KROGER-1000,2025-05-09,836,217122
KROGER-1000,2025-05-10,706,217828
KROGER-1000,2025-05-11,1004,218832
KROGER-1000,2025-05-12,734,219566
KROGER-1000,2025-05-13,909,220475
KROGER-1000,2025-05-14,753,221228
KROGER-1000,2025-05-15,841,222069
KROGER-1000,2025-05-16,746,222815
KROGER-1000,2025-05-17,913,223728
KROGER-1000,2025-05-18,830,224558
KROGER-1000,2025-05-19,835,225393
KROGER-1000,2025-05-20,806,226199
KROGER-1000,2025-05-21,717,226916
KROGER-1000,2025-05-22,838,227754
KROGER-1000,2025-05-23,773,228527
KROGER-1000,2025-05-24,916,229443
KROGER-1000,2025-05-25,830,230273
KROGER-1000,2025-05-26,800,231073
KROGER-1000,2025-05-27,914,231987
KROGER-1000,2025-05-28,959,232946
KROGER-1000,2025-05-29,856,233802
KROGER-1000,2025-05-30,787,234589
KROGER-1000,2025-05-31,820,235409
KROGER-1000,2025-06-01,790,236199
KROGER-1000,2025-06-02,765,236964
KROGER-1000,2025-06-03,788,237752
KROGER-1000,2025-06-04,932,238684
KROGER-1000,2025-06-05,792,239476
KROGER-1000,2025-06-06,726,240202
KROGER-1000,2025-06-07,848,241050
KROGER-1000,2025-06-08,858,241908
KROGER-1000,2025-06-09,807,242715
KROGER-1000,2025-06-10,857,243572
KROGER-1000,2025-06-11,810,244382
KROGER-1000,2025-06-12,855,245237
KROGER-1000,2025-06-13,755,245992
KROGER-1000,2025-06-14,966,246958
KROGER-1000,2025-06-15,863,247821
KROGER-1000,2025-06-16,831,248652
KROGER-1000,2025-06-17,755,249407
KROGER-1000,2025-06-18,836,250243
KROGER-1000,2025-06-19,847,251090
KROGER-1000,2025-06-20,730,251820
KROGER-1000,2025-06-21,733,252553
KROGER-1000,2025-06-22,865,253418
KROGER-1000,2025-06-23,774,254192
KROGER-1000,2025-06-24,822,255014
KROGER-1000,2025-06-25,722,255736
KROGER-1000,2025-06-26,705,256441
KROGER-1000,2025-06-27,819,257260
KROGER-1000,2025-06-28,822,258082
KROGER-1000,2025-06-29,703,258785
KROGER-1000,2025-06-30,892,259677
KROGER-1000,2025-07-01,721,260398
KROGER-1000,2025-07-02,971,261369
KROGER-1000,2025-07-03,765,262134
KROGER-1000,2025-07-04,831,262965
KROGER-1000,2025-07-05,957,263922
KROGER-1000,2025-07-06,946,264868
KROGER-1000,2025-07-07,933,265801
KROGER-1000,2025-07-08,707,266508
KROGER-1000,2025-07-09,732,267240
KROGER-1000,2025-07-10,820,268060
KROGER-1000,2025-07-11,859,268919
KROGER-1000,2025-07-12,845,269764
KROGER-1000,2025-07-13,735,270499
KROGER-1000,2025-07-14,837,271336
KROGER-1000,2025-07-15,793,272129
KROGER-1000,2025-07-16,792,272921
KROGER-1000,2025-07-17,658,273579
KROGER-1000,2025-07-18,857,274436
KROGER-1000,2025-07-19,855,275291
KROGER-1000,2025-07-20,967,276258
KROGER-1000,2025-07-21,800,277058
KROGER-1000,2025-07-22,842,277900
KROGER-1000,2025-07-23,859,278759
KROGER-1000,2025-07-24,693,279452
KROGER-1000,2025-07-25,974,280426
KROGER-1000,2025-07-26,816,281242
KROGER-1000,2025-07-27,879,282121
KROGER-1000,2025-07-28,846,282967
KROGER-1000,2025-07-29,753,283720
KROGER-1000,2025-07-30,924,284644
KROGER-1000,2025-07-31,822,285466
KROGER-1000,2025-08-01,791,286257
KROGER-1000,2025-08-02,855,287112
KROGER-1000,2025-08-03,897,288009
KROGER-1000,2025-08-04,806,288815
KROGER-1000,2025-08-05,862,289677
KROGER-1000,2025-08-06,697,290374
KROGER-1000,2025-08-07,757,291131
KROGER-1000,2025-08-08,667,291798
KROGER-1000,2025-08-09,981,292779
KROGER-1000,2025-08-10,980,293759
KROGER-1000,2025-08-11,846,294605
KROGER-1000,2025-08-12,740,295345
KROGER-1000,2025-08-13,959,296304
KROGER-1000,2025-08-14,766,297070
KROGER-1000,2025-08-15,791,297861
KROGER-1000,2025-08-16,856,298717
KROGER-1000,2025-08-17,876,299593
KROGER-1000,2025-08-18,847,300440
KROGER-1000,2025-08-19,849,301289
KROGER-1000,2025-08-20,796,302085
KROGER-1000,2025-08-21,848,302933
KROGER-1000,2025-08-22,793,303726
KROGER-1000,2025-08-23,885,304611
KROGER-1000,2025-08-24,879,305490
KROGER-1000,2025-08-25,854,306344
KROGER-1000,2025-08-26,846,307190
KROGER-1000,2025-08-27,777,307967
KROGER-1000,2025-08-28,835,308802
KROGER-1000,2025-08-29,847,309649
KROGER-1000,2025-08-30,758,310407
KROGER-1000,2025-08-31,827,311234
KROGER-1001,2024-09-01,645,645
KROGER-1001,2024-09-02,666,1311
KROGER-1001,2024-09-03,625,1936
KROGER-1001,2024-09-04,669,2605
KROGER-1001,2024-09-05,567,3172
KROGER-1001,2024-09-06,598,3770
KROGER-1001,2024-09-07,655,4425
KROGER-1001,2024-09-08,501,4926
KROGER-1001,2024-09-09,657,5583
KROGER-1001,2024-09-10,499,6082
KROGER-1001,2024-09-11,633,6715
KROGER-1001,2024-09-12,618,7333
KROGER-1001,2024-09-13,476,7809
KROGER-1001,2024-09-14,503,8312
KROGER-1001,2024-09-15,686,8998
KROGER-1001,2024-09-16,643,9641
KROGER-1001,2024-09-17,545,10186
KROGER-1001,2024-09-18,545,10731
KROGER-1001,2024-09-19,610,11341
KROGER-1001,2024-09-20,585,11926
KROGER-1001,2024-09-21,667,12593
KROGER-1001,2024-09-22,639,13232
KROGER-1001,2024-09-23,660,13892
KROGER-1001,2024-09-24,632,14524
KROGER-1001,2024-09-25,620,15144
KROGER-1001,2024-09-26,569,15713
KROGER-1001,2024-09-27,566,16279
KROGER-1001,2024-09-28,613,16892
KROGER-1001,2024-09-29,706,17598
KROGER-1001,2024-09-30,567,18165
KROGER-1001,2024-10-01,598,18763
KROGER-1001,2024-10-02,481,19244
KROGER-1001,2024-10-03,618,19862
KROGER-1001,2024-10-04,692,20554
KROGER-1001,2024-10-05,569,21123
KROGER-1001,2024-10-06,772,21895
KROGER-1001,2024-10-07,595,22490
KROGER-1001,2024-10-08,465,22955
KROGER-1001,2024-10-09,568,23523
KROGER-1001,2024-10-10,648,24171
KROGER-1001,2024-10-11,680,24851
KROGER-1001,2024-10-12,651,25502
KROGER-1001,2024-10-13,693,26195
KROGER-1001,2024-10-14,531,26726
KROGER-1001,2024-10-15,554,27280
KROGER-1001,2024-10-16,507,27787
KROGER-1001,2024-10-17,558,28345
KROGER-1001,2024-10-18,622,28967
KROGER-1001,2024-10-19,626,29593
KROGER-1001,2024-10-20,658,30251
KROGER-1001,2024-10-21,542,30793
KROGER-1001,2024-10-22,545,31338
KROGER-1001,2024-10-23,596,31934
KROGER-1001,2024-10-24,558,32492
KROGER-1001,2024-10-25,647,33139
KROGER-1001,2024-10-26,584,33723
KROGER-1001,2024-10-27,591,34314
KROGER-1001,2024-10-28,606,34920
KROGER-1001,2024-10-29,568,35488
KROGER-1001,2024-10-30,528,36016
KROGER-1001,2024-10-31,534,36550
KROGER-1001,2024-11-01,734,37284
KROGER-1001,2024-11-02,658,37942
KROGER-1001,2024-11-03,821,38763
KROGER-1001,2024-11-04,664,39427
KROGER-1001,2024-11-05,738,40165
KROGER-1001,2024-11-06,668,40833
KROGER-1001,2024-11-07,652,41485
KROGER-1001,2024-11-08,717,42202
KROGER-1001,2024-11-09,801,43003
KROGER-1001,2024-11-10,724,43727
KROGER-1001,2024-11-11,700,44427
KROGER-1001,2024-11-12,749,45176
KROGER-1001,2024-11-13,751,45927
KROGER-1001,2024-11-14,701,46628
KROGER-1001,2024-11-15,678,47306
KROGER-1001,2024-11-16,743,48049
KROGER-1001,2024-11-17,727,48776
KROGER-1001,2024-11-18,721,49497
KROGER-1001,2024-11-19,636,50133
KROGER-1001,2024-11-20,719,50852
KROGER-1001,2024-11-21,663,51515
KROGER-1001,2024-11-22,754,52269
KROGER-1001,2024-11-23,699,52968
KROGER-1001,2024-11-24,700,53668
KROGER-1001,2024-11-25,728,54396
KROGER-1001,2024-11-26,704,55100
KROGER-1001,2024-11-27,831,55931
KROGER-1001,2024-11-28,612,56543
KROGER-1001,2024-11-29,709,57252
KROGER-1001,2024-11-30,805,58057
KROGER-1001,2024-12-01,704,58761
KROGER-1001,2024-12-02,652,59413
KROGER-1001,2024-12-03,654,60067
KROGER-1001,2024-12-04,613,60680
KROGER-1001,2024-12-05,779,61459
KROGER-1001,2024-12-06,685,62144
KROGER-1001,2024-12-07,712,62856
KROGER-1001,2024-12-08,613,63469
KROGER-1001,2024-12-09,623,64092
KROGER-1001,2024-12-10,786,64878
KROGER-1001,2024-12-11,720,65598
KROGER-1001,2024-12-12,769,66367
KROGER-1001,2024-12-13,762,67129
KROGER-1001,2024-12-14,679,67808
KROGER-1001,2024-12-15,882,68690
KROGER-1001,2024-12-16,813,69503
KROGER-1001,2024-12-17,672,70175
KROGER-1001,2024-12-18,502,70677
KROGER-1001,2024-12-19,683,71360
KROGER-1001,2024-12-20,717,72077
KROGER-1001,2024-12-21,705,72782
KROGER-1001,2024-12-22,725,73507
KROGER-1001,2024-12-23,657,74164
KROGER-1001,2024-12-24,755,74919
KROGER-1001,2024-12-25,707,75626
KROGER-1001,2024-12-26,757,76383
KROGER-1001,2024-12-27,772,77155
KROGER-1001,2024-12-28,610,77765
KROGER-1001,2024-12-29,693,78458
KROGER-1001,2024-12-30,668,79126
KROGER-1001,2024-12-31,848,79974
KROGER-1001,2025-01-01,593,80567
KROGER-1001,2025-01-02,624,81191
KROGER-1001,2025-01-03,498,81689
KROGER-1001,2025-01-04,622,82311
KROGER-1001,2025-01-05,664,82975
KROGER-1001,2025-01-06,626,83601
KROGER-1001,2025-01-07,615,84216
KROGER-1001,2025-01-08,587,84803
KROGER-1001,2025-01-09,589,85392
KROGER-1001,2025-01-10,507,85899
KROGER-1001,2025-01-11,571,86470
KROGER-1001,2025-01-12,627,87097
KROGER-1001,2025-01-13,552,87649
KROGER-1001,2025-01-14,618,88267
KROGER-1001,2025-01-15,608,88875
KROGER-1001,2025-01-16,650,89525
KROGER-1001,2025-01-17,631,90156
KROGER-1001,2025-01-18,627,90783
KROGER-1001,2025-01-19,652,91435
KROGER-1001,2025-01-20,633,92068
KROGER-1001,2025-01-21,562,92630
KROGER-1001,2025-01-22,571,93201
KROGER-1001,2025-01-23,581,93782
KROGER-1001,2025-01-24,564,94346
KROGER-1001,2025-01-25,665,95011
KROGER-1001,2025-01-26,584,95595
KROGER-1001,2025-01-27,645,96240
KROGER-1001,2025-01-28,569,96809
KROGER-1001,2025-01-29,608,97417
KROGER-1001,2025-01-30,594,98011
KROGER-1001,2025-01-31,540,98551
KROGER-1001,2025-02-01,614,99165
KROGER-1001,2025-02-02,632,99797
KROGER-1001,2025-02-03,583,100380
KROGER-1001,2025-02-04,523,100903
KROGER-1001,2025-02-05,666,101569
KROGER-1001,2025-02-06,590,102159
KROGER-1001,2025-02-07,549,102708
KROGER-1001,2025-02-08,695,103403
KROGER-1001,2025-02-09,646,104049
KROGER-1001,2025-02-10,530,104579
KROGER-1001,2025-02-11,537,105116
KROGER-1001,2025-02-12,576,105692
KROGER-1001,2025-02-13,600,106292
KROGER-1001,2025-02-14,615,106907
KROGER-1001,2025-02-15,662,107569
KROGER-1001,2025-02-16,642,108211
KROGER-1001,2025-02-17,649,108860
KROGER-1001,2025-02-18,592,109452
KROGER-1001,2025-02-19,550,110002
KROGER-1001,2025-02-20,586,110588
KROGER-1001,2025-02-21,583,111171
KROGER-1001,2025-02-22,488,111659
KROGER-1001,2025-02-23,588,112247
KROGER-1001,2025-02-24,601,112848
KROGER-1001,2025-02-25,566,113414
KROGER-1001,2025-02-26,556,113970
KROGER-1001,2025-02-27,629,114599
KROGER-1001,2025-02-28,543,115142
KROGER-1001,2025-03-01,650,115792
KROGER-1001,2025-03-02,550,116342
KROGER-1001,2025-03-03,716,117058
KROGER-1001,2025-03-04,576,117634
KROGER-1001,2025-03-05,571,118205
KROGER-1001,2025-03-06,640,118845
KROGER-1001,2025-03-07,566,119411
KROGER-1001,2025-03-08,687,120098
KROGER-1001,2025-03-09,634,120732
KROGER-1001,2025-03-10,580,121312
KROGER-1001,2025-03-11,575,121887
KROGER-1001,2025-03-12,643,122530
KROGER-1001,2025-03-13,597,123127
KROGER-1001,2025-03-14,606,123733
KROGER-1001,2025-03-15,642,124375
KROGER-1001,2025-03-16,622,124997
KROGER-1001,2025-03-17,610,125607
KROGER-1001,2025-03-18,580,126187
KROGER-1001,2025-03-19,584,126771
KROGER-1001,2025-03-20,534,127305
KROGER-1001,2025-03-21,600,127905
KROGER-1001,2025-03-22,531,128436
KROGER-1001,2025-03-23,629,129065
KROGER-1001,2025-03-24,573,129638
KROGER-1001,2025-03-25,604,130242
KROGER-1001,2025-03-26,537,130779
KROGER-1001,2025-03-27,487,131266
KROGER-1001,2025-03-28,570,131836
KROGER-1001,2025-03-29,564,132400
KROGER-1001,2025-03-30,528,132928
KROGER-1001,2025-03-31,622,133550
KROGER-1001,2025-04-01,661,134211
KROGER-1001,2025-04-02,549,134760
KROGER-1001,2025-04-03,582,135342
KROGER-1001,2025-04-04,572,135914
KROGER-1001,2025-04-05,583,136497
KROGER-1001,2025-04-06,648,137145
KROGER-1001,2025-04-07,633,137778
KROGER-1001,2025-04-08,545,138323
KROGER-1001,2025-04-09,588,138911
KROGER-1001,2025-04-10,646,139557
KROGER-1001,2025-04-11,618,140175
KROGER-1001,2025-04-12,657,140832
KROGER-1001,2025-04-13,683,141515
KROGER-1001,2025-04-14,650,142165
KROGER-1001,2025-04-15,634,142799
KROGER-1001,2025-04-16,593,143392
KROGER-1001,2025-04-17,568,143960
KROGER-1001,2025-04-18,591,144551
KROGER-1001,2025-04-19,589,145140
KROGER-1001,2025-04-20,519,145659
KROGER-1001,2025-04-21,573,146232
KROGER-1001,2025-04-22,603,146835
KROGER-1001,2025-04-23,558,147393
KROGER-1001,2025-04-24,577,147970
KROGER-1001,2025-04-25,579,148549
KROGER-1001,2025-04-26,682,149231
KROGER-1001,2025-04-27,598,149829
KROGER-1001,2025-04-28,650,150479
KROGER-1001,2025-04-29,459,150938
KROGER-1001,2025-04-30,649,151587
KROGER-1001,2025-05-01,647,152234
KROGER-1001,2025-05-02,628,152862
KROGER-1001,2025-05-03,516,153378
KROGER-1001,2025-05-04,666,154044
KROGER-1001,2025-05-05,584,154628
KROGER-1001,2025-05-06,467,155095
KROGER-1001,2025-05-07,647,155742
KROGER-1001,2025-05-08,654,156396
KROGER-1001,2025-05-09,497,156893
KROGER-1001,2025-05-10,624,157517
KROGER-1001,2025-05-11,684,158201
KROGER-1001,2025-05-12,644,158845
KROGER-1001,2025-05-13,625,159470
KROGER-1001,2025-05-14,462,159932
KROGER-1001,2025-05-15,620,160552
KROGER-1001,2025-05-16,576,161128
KROGER-1001,2025-05-17,664,161792
KROGER-1001,2025-05-18,628,162420
KROGER-1001,2025-05-19,585,163005
KROGER-1001,2025-05-20,616,163621
KROGER-1001,2025-05-21,578,164199
KROGER-1001,2025-05-22,585,164784
KROGER-1001,2025-05-23,560,165344
KROGER-1001,2025-05-24,536,165880
KROGER-1001,2025-05-25,643,166523
KROGER-1001,2025-05-26,548,167071
KROGER-1001,2025-05-27,577,167648
KROGER-1001,2025-05-28,599,168247
KROGER-1001,2025-05-29,488,168735
KROGER-1001,2025-05-30,499,169234
KROGER-1001,2025-05-31,601,169835
KROGER-1001,2025-06-01,638,170473
KROGER-1001,2025-06-02,621,171094
KROGER-1001,2025-06-03,511,171605
KROGER-1001,2025-06-04,616,172221
KROGER-1001,2025-06-05,575,172796
KROGER-1001,2025-06-06,545,173341
KROGER-1001,2025-06-07,583,173924
KROGER-1001,2025-06-08,655,174579
KROGER-1001,2025-06-09,599,175178
KROGER-1001,2025-06-10,588,175766
KROGER-1001,2025-06-11,597,176363
KROGER-1001,2025-06-12,630,176993
KROGER-1001,2025-06-13,581,177574
KROGER-1001,2025-06-14,618,178192
KROGER-1001,2025-06-15,671,178863
KROGER-1001,2025-06-16,570,179433
KROGER-1001,2025-06-17,615,180048
KROGER-1001,2025-06-18,562,180610
KROGER-1001,2025-06-19,566,181176
KROGER-1001,2025-06-20,581,181757
KROGER-1001,2025-06-21,641,182398
KROGER-1001,2025-06-22,674,183072
KROGER-1001,2025-06-23,591,183663
KROGER-1001,2025-06-24,516,184179
KROGER-1001,2025-06-25,616,184795
KROGER-1001,2025-06-26,701,185496
KROGER-1001,2025-06-27,591,186087
KROGER-1001,2025-06-28,531,186618
KROGER-1001,2025-06-29,624,187242
KROGER-1001,2025-06-30,586,187828
KROGER-1001,2025-07-01,582,188410
KROGER-1001,2025-07-02,630,189040
KROGER-1001,2025-07-03,651,189691
KROGER-1001,2025-07-04,618,190309
KROGER-1001,2025-07-05,609,190918
KROGER-1001,2025-07-06,671,191589
KROGER-1001,2025-07-07,516,192105
KROGER-1001,2025-07-08,552,192657
KROGER-1001,2025-07-09,583,193240
KROGER-1001,2025-07-10,577,193817
KROGER-1001,2025-07-11,592,194409
KROGER-1001,2025-07-12,627,195036
KROGER-1001,2025-07-13,568,195604
KROGER-1001,2025-07-14,546,196150
KROGER-1001,2025-07-15,588,196738
KROGER-1001,2025-07-16,556,197294
KROGER-1001,2025-07-17,629,197923
KROGER-1001,2025-07-18,588,198511
KROGER-1001,2025-07-19,707,199218
KROGER-1001,2025-07-20,656,199874
KROGER-1001,2025-07-21,638,200512
KROGER-1001,2025-07-22,592,201104
KROGER-1001,2025-07-23,593,201697
KROGER-1001,2025-07-24,667,202364
KROGER-1001,2025-07-25,568,202932
KROGER-1001,2025-07-26,642,203574
KROGER-1001,2025-07-27,602,204176
KROGER-1001,2025-07-28,573,204749
